Time sep (s?), Charge (C)
1.982422, 4.368537e-11
2.112305, 3.756217e-11
2.243164, 4.248472e-11
2.375, 4.104411e-11
2.506836, 3.756204e-11
2.636719, 3.840278e-11
2.765625, 4.104393e-11
2.897461, 3.780226e-11
3.029297, -1.596952e-08
3.162109, -1.595846e-08
3.291016, -1.596353e-08
3.421875, -1.595919e-08
3.553711, -1.596109e-08
3.685547, -1.595716e-08
3.81543, -1.596602e-08
3.949219, -1.596501e-08
4.077148, -1.596085e-08
4.207031, -1.595688e-08
4.338867, -1.596676e-08
4.469727, -1.596141e-08
4.600586, -1.59611e-08
4.730469, -1.595642e-08
4.860352, -1.596701e-08
4.992188, -3.163807e-08
5.120117, -3.16461e-08
5.250977, -3.164009e-08
5.382813, -3.164073e-08
5.515625, -3.163447e-08
5.646484, -3.163905e-08
5.777344, -3.163224e-08
5.90918, -3.164102e-08
6.039063, -3.163553e-08
6.168945, -3.164202e-08
6.300781, -3.163276e-08
6.431641, -3.163964e-08
6.5625, -3.16384e-08
6.693359, -3.1644e-08
6.823242, -3.163725e-08
6.954102, -4.775832e-08
7.085938, -4.775077e-08
7.216797, -4.775271e-08
7.347656, -4.774464e-08
7.478516, -4.775368e-08
7.608398, -4.774666e-08
7.744141, -4.774562e-08
7.876953, -4.77493e-08
8.005859, -4.774342e-08
8.133789, -4.774844e-08
8.265625, -4.774325e-08
8.395508, -4.774671e-08
8.526367, -4.774359e-08
8.65625, -4.774973e-08
8.787109, -4.774206e-08
8.946289, -6.393623e-08
9.078125, -6.392921e-08
9.207031, -6.393294e-08
9.337891, -6.392497e-08
9.469727, -6.393208e-08
9.597656, -6.392363e-08
9.728516, -6.39265e-08
9.859375, -6.393014e-08
9.991211, -6.39254e-08
10.12012, -6.392786e-08
10.25098, -6.392826e-08
10.38477, -6.392401e-08
10.5166, -6.392915e-08
10.64648, -6.392739e-08
10.77832, -6.392863e-08
10.90918, -7.984905e-08
11.04102, -7.984827e-08
11.1709, -7.984764e-08
11.30176, -7.984774e-08
11.43359, -7.984703e-08
11.56348, -7.98462e-08
11.69531, -7.984317e-08
11.82715, -7.984955e-08
11.95801, -7.984153e-08
12.08789, -7.984521e-08
12.21875, -7.983936e-08
12.35059, -7.983955e-08
12.48242, -7.984752e-08
12.61426, -7.9839e-08
12.74609, -7.984447e-08
12.87695, -7.984148e-08
13.00684, -7.983926e-08
13.1377, -7.984509e-08
13.2666, -7.984232e-08
13.39746, -7.984431e-08
