Wavelength(nm), SC photons / PD electrons
350.0, 19.750506669139327
360.0, 20.313762346145005
370.0, 20.997406441637285
380.0, 19.688769981934406
390.0, 17.57984680330986
400.0, 17.665344250149317
420.0, 14.437375835724334
430.0, 12.387729146836515
440.0, 11.997726792199662
450.0, 10.845900313244798
460.0, 10.443176019288302
470.0, 10.57355097976212
480.0, 9.442518808882525
490.0, 9.915688903476518
500.0, 8.744890054231075
510.0, 8.187048961396549
520.0, 8.221529835176327
530.0, 7.3370975741221685
540.0, 7.216133838814833
550.0, 6.6088006262281
560.0, 6.7680383639607005
570.0, 7.242656423423538
580.0, 6.0153664880249575
590.0, 6.453400593737094
600.0, 6.188130002820697
610.0, 5.825942294864664
620.0, 5.566887168833981
630.0, 5.415497012322419
640.0, 5.397088318677569
650.0, 5.139619015649232
660.0, 5.126753280736954
670.0, 4.569795539373775
680.0, 4.469112366086045
690.0, 4.655902834235624
700.0, 4.36034916036055
710.0, 4.201698130051057
720.0, 4.007905637492817
730.0, 4.2983896533997115
740.0, 3.941808667357414
750.0, 3.871886210206129
760.0, 3.879578945412451
770.0, 3.8019665982898885
780.0, 3.7238672411325235
790.0, 3.6679255053517252
800.0, 3.6828039853420567
810.0, 3.571784479095431
820.0, 3.580390571423915
840.0, 3.635279828554009
850.0, 3.7556734691815143
860.0, 4.113330348429791
870.0, 3.770804082451414
880.0, 3.755103968832501
890.0, 4.043050986920326
