Burst starts (s), Burst ends(A)
1626227347.6322908, 1626227349.920174
1626227349.9355493, 1626227351.9478786
1626227351.963841, 1626227353.9880924
1626227354.003689, 1626227356.0258067
1626227356.0258067, 1626227358.0488207
