Burst starts (s), Burst ends(A)
1626227082.4622655, 1626227084.4690034
1626227084.484297, 1626227086.5073576
1626227086.527542, 1626227088.5498781
1626227088.6135886, 1626227090.6242356
1626227090.6242356, 1626227092.6649506
