Time sep (ms?), Current (A)
530.53, -2.407e-08
532.53, -2.471e-08
534.53, -2.652e-08
536.54, -2.331e-08
538.54, -2.774e-08
540.54, -2.663e-08
542.54, -2.605e-08
544.54, -2.755e-08
546.55, -2.336e-08
548.55, -2.42e-08
550.55, -2.613e-08
552.55, -2.452e-08
554.55, -2.461e-08
556.56, -2.437e-08
558.56, -2.588e-08
560.56, -2.772e-08
562.56, -2.624e-08
564.56, -2.604e-08
566.57, -2.846e-08
568.57, -2.742e-08
570.57, -2.784e-08
572.57, -2.794e-08
574.57, -2.616e-08
576.58, -2.457e-08
578.58, -2.382e-08
580.58, -2.653e-08
582.58, -2.934e-08
584.58, -2.532e-08
586.59, -2.426e-08
588.59, -2.289e-08
590.59, -2.42e-08
592.59, -2.276e-08
594.59, -2.226e-08
596.6, -2.19e-08
598.6, -2.241e-08
600.6, -2.699e-08
602.6, -2.403e-08
604.6, -2.164e-08
606.61, -2.386e-08
608.61, -2.018e-08
610.61, -2.276e-08
612.61, -2.182e-08
614.61, -2.231e-08
616.62, -2.351e-08
618.62, -2.299e-08
620.62, -2.413e-08
622.62, -2.326e-08
624.62, -2.351e-08
626.63, -2.122e-08
628.63, -2.052e-08
630.63, -2.216e-08
632.63, -2.284e-08
634.63, -2.389e-08
636.64, -2.139e-08
638.64, -2.517e-08
640.64, -2.608e-08
642.64, -2.597e-08
644.64, -2.747e-08
646.65, -2.35e-08
648.65, -2.439e-08
650.65, -2.584e-08
652.65, -2.481e-08
654.65, -2.242e-08
656.66, -2.201e-08
658.66, -2.548e-08
660.66, -2.471e-08
662.66, -2.198e-08
664.66, -1.994e-08
666.67, -2.403e-08
668.67, -2.409e-08
670.67, -2.525e-08
672.67, -2.455e-08
674.67, -2.636e-08
676.68, -2.212e-08
678.68, -1.948e-08
680.68, -2.434e-08
682.68, -2.172e-08
684.68, -2.573e-08
686.69, -2.367e-08
688.69, -2.485e-08
690.69, -2.469e-08
692.69, -2.358e-08
694.69, -2.158e-08
696.7, -2.094e-08
698.7, -2.255e-08
700.7, -2.467e-08
702.7, -2.34e-08
704.7, -2.733e-08
706.71, -2.33e-08
708.71, -2.678e-08
710.71, -2.736e-08
712.71, -2.294e-08
714.71, -2.19e-08
716.72, -2.25e-08
718.72, -2.233e-08
720.72, -2.462e-08
722.72, -2.327e-08
724.72, -2.288e-08
726.73, -2.422e-08
728.73, -2.295e-08
730.73, -2.229e-08
732.73, -2.329e-08
734.73, -2.374e-08
736.74, -2.536e-08
738.74, -2.263e-08
740.74, -2.409e-08
742.74, -2.491e-08
744.74, -1.999e-08
746.75, -2.229e-08
748.75, -1.945e-08
750.75, -2.236e-08
752.75, -1.736e-08
754.75, -1.84e-08
756.76, -1.823e-08
758.76, -1.837e-08
760.76, -2.17e-08
762.76, -2.109e-08
764.76, -2.262e-08
766.77, -2.23e-08
768.77, -2.353e-08
770.77, -2.371e-08
772.77, -2.477e-08
774.77, -2.253e-08
776.78, -2.285e-08
778.78, -2.327e-08
780.78, -2.476e-08
782.78, -2.081e-08
784.78, -2.188e-08
786.79, -2.298e-08
788.79, -2.581e-08
790.79, -2.248e-08
792.79, -2.7e-08
794.79, -2.276e-08
796.8, -2.356e-08
798.8, -2.361e-08
800.8, -2.294e-08
802.8, -2.106e-08
804.8, -2.441e-08
806.81, -2.312e-08
808.81, -2.43e-08
810.81, -2.753e-08
812.81, -2.667e-08
814.81, -2.34e-08
816.82, -2.364e-08
818.82, -2.785e-08
820.82, -2.539e-08
822.82, -2.8e-08
824.82, -2.751e-08
826.83, -2.118e-08
