Time sep (s?), Charge (C)
2.0, 4.200431e-11
2.141602, 4.392516e-11
2.273438, 4.104371e-11
2.401367, 4.680681e-11
2.557617, 4.212423e-11
2.696289, 3.936291e-11
2.833984, 3.732166e-11
2.970703, 3.972291e-11
3.12793, -2.174524e-09
3.280273, -4.878981e-09
3.422852, -7.491129e-09
3.553711, -9.925226e-09
3.686523, -1.235566e-08
3.818359, -1.481956e-08
3.948242, -1.723269e-08
4.09082, -1.757164e-08
4.229492, -1.757156e-08
4.381836, -1.757271e-08
4.535156, -1.757282e-08
4.678711, -1.756833e-08
4.81543, -1.757426e-08
4.97168, -1.760871e-08
5.102539, -1.982482e-08
5.242188, -2.232837e-08
5.37793, -2.480306e-08
5.509766, -2.724223e-08
5.664063, -3.006627e-08
5.837891, -3.328394e-08
5.99707, -3.516736e-08
6.169922, -3.516609e-08
6.34082, -3.516575e-08
6.506836, -3.516246e-08
6.674805, -3.51726e-08
6.84375, -3.517193e-08
7.008789, -3.578324e-08
7.18457, -3.879785e-08
7.34082, -4.157975e-08
7.498047, -4.440565e-08
7.635742, -4.687143e-08
7.766602, -4.930308e-08
7.899414, -5.171228e-08
8.042969, -5.254668e-08
8.1875, -5.254961e-08
8.317383, -5.254659e-08
8.448242, -5.254534e-08
8.584961, -5.254821e-08
8.71875, -5.254631e-08
8.867188, -5.254467e-08
9.040039, -5.401005e-08
9.203125, -5.685278e-08
9.347656, -5.944488e-08
9.501953, -6.226363e-08
9.666016, -6.525801e-08
9.823242, -6.814154e-08
9.966797, -6.994722e-08
10.11914, -6.994296e-08
10.26855, -6.994991e-08
10.4248, -6.994418e-08
10.56348, -6.994517e-08
10.70313, -6.994726e-08
10.83398, -6.994377e-08
10.96777, -6.994311e-08
11.10059, -6.994833e-08
11.23047, -6.994244e-08
11.35938, -6.994282e-08
11.49414, -6.994007e-08
11.64063, -6.994669e-08
11.77246, -6.993976e-08
11.90723, -6.993949e-08
12.04785, -6.994816e-08
12.18457, -6.994146e-08
12.32227, -6.994356e-08
12.45898, -6.99423e-08
