Wavelength(nm), SC photons / PD photons
350.0, 2.7395971095062084
355.0, 3.069952708683408
360.0, 3.1439637314179105
365.0, 3.179380623864829
370.0, 2.9589059293262463
375.0, 2.950433365714614
380.0, 2.8490063909095946
385.0, 2.9695072232375685
395.0, 3.19906151535437
400.0, 3.0628256153782827
405.0, 3.1783354306671336
410.0, 3.1499986532481494
415.0, 3.312555320029789
420.0, 3.036705506720882
425.0, 3.0241474365899452
430.0, 3.0840786733977894
435.0, 3.099126985725997
440.0, 3.1010018686058163
445.0, 2.936502781600121
450.0, 2.9682760026715695
455.0, 3.093153744862986
460.0, 3.2481994296096715
465.0, 3.2729084317889754
470.0, 3.494008270779584
475.0, 3.4620015414523815
480.0, 3.336867597152966
485.0, 3.5420302545996507
490.0, 3.3947891363527156
500.0, 3.363513150912958
505.0, 3.4460177155525167
510.0, 3.558051327032547
515.0, 3.3703224444655775
520.0, 3.4931031626398843
525.0, 3.605569396610722
530.0, 3.362065697504125
535.0, 3.382139589708792
540.0, 2.693098764531239
545.0, 3.2447133275185602
550.0, 3.2506206878641124
555.0, 3.4388180731528215
560.0, 3.456881768409818
565.0, 3.1079821293409786
570.0, 3.224900588414474
575.0, 3.214895251602738
580.0, 7.473150377533581
585.0, 3.232364007108482
590.0, 3.3414752675002246
595.0, 3.331773871932509
600.0, 3.913814039192964
605.0, 3.310821934659473
610.0, 3.4163756570467783
615.0, 3.0850354844569687
620.0, 3.3550264438503947
625.0, 2.931117667526641
630.0, 3.346993707136153
635.0, 3.2459320206264364
640.0, 3.1278603908001754
645.0, 3.5894273596323
650.0, 3.2620285778904177
655.0, 3.3080874929108592
660.0, 3.186298317169533
665.0, 2.9590588988503903
670.0, 3.0345756570537565
675.0, 2.937543527312952
680.0, 3.4118619423041823
685.0, 2.925021963386762
690.0, 2.79887691510067
695.0, 2.8243197306239187
700.0, 2.7859529085142767
705.0, 2.781810182533865
710.0, 2.7813075554580244
715.0, 3.0165958056433486
720.0, 2.7867620087666776
725.0, 2.792701314533044
730.0, 2.7366914443933243
735.0, 2.7221407037586793
740.0, 2.7664825435714504
745.0, 2.697320064429177
750.0, 2.695153967238261
755.0, 2.7360605970919054
760.0, 2.641330611936257
765.0, 2.6972415857505436
770.0, 2.6958867417256624
775.0, 2.705272255036819
780.0, 2.7062747739393256
785.0, 2.6526601978020143
790.0, 2.712140902615986
795.0, 2.679000355915682
800.0, 2.5358801503070345
805.0, 2.6682072933872067
810.0, 2.667170474955242
815.0, 2.7501961106697923
820.0, 2.68488883774852
825.0, 2.982529368170934
830.0, 2.6570331697655245
835.0, 2.7401741031025333
840.0, 2.872943878643058
845.0, 2.962069477359785
850.0, 3.2601686698522796
855.0, 3.5035546725466364
860.0, 3.754167685500491
865.0, 2.8516646858601598
870.0, 2.91461273472976
875.0, 2.892589517197758
880.0, 2.9956474377718814
890.0, 3.1011207192331853
895.0, 2.97589635139582
900.0, 3.10929272120551
905.0, 3.098150441440971
910.0, 3.098469666439459
915.0, 3.092479442841211
920.0, 3.1832116768231433
925.0, 3.1688199033724107
930.0, 3.1877305698678975
935.0, 3.256309061719205
940.0, 3.3150450016267206
945.0, 3.229492276941375
950.0, 3.3469835598901385
955.0, 3.421835717102308
960.0, 3.3665427382069364
965.0, 3.5357238874429546
970.0, 3.623739374562366
975.0, 3.6924719652662636
980.0, 3.639474473260184
985.0, 3.802211605419755
990.0, 4.040773634349529
995.0, 4.002947003007506
1000.0, 3.936489434838268
1005.0, 4.20863070580748
1010.0, 4.409964565300383
1015.0, 4.236744510802551
1020.0, 4.243642451306864
1025.0, 4.456190900275517
1030.0, 4.3899174667276935
1035.0, 4.2508274635162495
1040.0, 4.395686935181205
1045.0, 5.035548177712185
