Burst starts (s), Burst ends(A)
1626143849.9324124, 1626143851.9557261
1626143852.0074172, 1626143854.0299988
1626143854.0453444, 1626143856.0522702
1626143856.0678937, 1626143858.074513
1626143858.142059, 1626143860.164605
