Wavelength(nm), SC photons / PD electrons
396.0, 0.9335923956869332
398.0, 1.0427258185539712
400.0, 1.0003673728358964
404.0, 0.8002835189733526
406.0, 0.8613098156384349
408.0, 0.7206437769604715
410.0, 0.9955713753498812
412.0, 1.163521339579076
414.0, 1.445273465295866
416.0, 1.240080590173541
418.0, 0.9821082967288811
420.0, 0.9330888372773125
422.0, 0.762909078706495
424.0, 0.983629487308605
426.0, 0.7515811658635827
428.0, 1.2309843989512232
430.0, 0.7939606527510747
432.0, 0.7370492614004996
434.0, 0.6922098044614922
436.0, 0.6217661299742443
438.0, 0.7663310931288966
440.0, 0.8053408262737577
442.0, 0.703313770465269
444.0, 0.660315585020289
446.0, 0.5969874147655492
450.0, 0.5148281045990293
454.0, 0.6578916454677706
458.0, 0.5827702084932608
460.0, 0.555882108787401
462.0, 0.5841624029546184
464.0, 0.6621432203115446
466.0, 0.5585552380913417
468.0, 0.573751835306261
470.0, 0.5784406490533899
472.0, 0.6287560448406273
474.0, 0.6201886456066813
476.0, 0.6325853919728562
478.0, 0.6525546627821323
480.0, 0.5502242025656985
484.0, 0.5608819196165992
486.0, 0.6395874750931586
488.0, 0.6250421666899566
490.0, 0.5720380354891109
494.0, 0.6164587820498978
498.0, 0.5470330056945294
500.0, 0.5959558801810951
502.0, 0.5865750535385513
506.0, 0.5116039093641971
512.0, 0.4653177899192626
514.0, 0.4409798169379917
518.0, 0.5004977479640477
520.0, 0.5321669366713303
522.0, 0.5057560372144165
524.0, 0.5235431838101926
526.0, 0.5425717964098443
528.0, 0.49282394703495697
530.0, 0.5596246580411653
532.0, 0.4187170757813498
536.0, 0.5994055446415462
538.0, 0.6284096579604277
540.0, 0.5689797349295347
542.0, 0.51530366886125
548.0, 0.5572455102430885
550.0, 0.45813782543479536
564.0, 0.4981394613125716
568.0, 0.47473433170277757
574.0, 0.3981033782694659
584.0, 0.5146343082065089
588.0, 0.5524508183466967
592.0, 0.6010857239302632
616.0, 0.21098695398055176
670.0, 0.40376143606007225
672.0, 0.3892636440434271
674.0, 0.3810454729078959
676.0, 0.4013508434051186
678.0, 0.39093287083801614
680.0, 0.4339896180757878
682.0, 0.4187581528970206
684.0, 0.3907028198371325
686.0, 0.3982289899497117
688.0, 0.3763652906136214
690.0, 0.4097901468076543
692.0, 0.3961958191699118
696.0, 0.4255036905941902
698.0, 0.4105899383412464
700.0, 0.4544608803344403
702.0, 0.36917685491039737
704.0, 0.4104214726560863
706.0, 0.39793035301814067
708.0, 0.42150303124944877
710.0, 0.44126241230764746
712.0, 0.19075365571280128
714.0, 0.45411994774972525
716.0, 0.4367802624836688
718.0, 0.4035582547766223
720.0, 0.4840193324739122
722.0, 0.4566666222845511
724.0, 0.44737045067838654
726.0, 0.4611836391370851
728.0, 0.4091209498701139
730.0, 0.4112573043535618
732.0, 0.5008507037133092
734.0, 0.4601780569156918
736.0, 0.4642110662957548
738.0, 0.4177187869605045
740.0, 0.44542130950095804
742.0, 0.45256714019776256
744.0, 0.4526572043937615
746.0, 0.4056145939991005
748.0, 0.4783061151474892
750.0, 0.47968911805190234
752.0, 0.4704326223955616
754.0, 0.4701500621209198
756.0, 0.44184197800209357
758.0, 0.5154325351787047
760.0, 0.4582554265473588
762.0, 0.4892759892790386
764.0, 0.48311447116888495
766.0, 0.4811344781197241
768.0, 0.46235712954638436
770.0, 0.5023165059390188
772.0, 0.4931631550638022
774.0, 0.5033323429601296
776.0, 0.5370214363612631
778.0, 0.495313392131366
780.0, 0.496723738341401
782.0, 0.4848543559280932
784.0, 0.5022714922989175
786.0, 0.5455099553442276
788.0, 0.5099199494700938
790.0, 0.5073947938579612
792.0, 0.5134500660911976
794.0, 0.500406775862134
796.0, 0.5042014554368752
798.0, 0.47184324276508965
800.0, 0.49675527894555904
802.0, 0.5116160561131158
804.0, 0.5021184572896549
806.0, 0.4988106151934906
808.0, 0.5013251862690719
810.0, 0.49906271659804424
812.0, 0.5435059771331566
814.0, 0.503935148284845
816.0, 0.5383165987655325
818.0, 0.4849984075019596
822.0, 0.45953759854841514
824.0, 0.4769629793025928
826.0, 0.48094444628115257
828.0, 0.4736753780650785
830.0, 0.4917470455058796
832.0, 0.46965623613556895
834.0, 0.5005946459006111
836.0, 0.48722917137862076
838.0, 0.4768322648159296
840.0, 0.5226294590365074
842.0, 0.5307759474445877
844.0, 0.49304143980715737
846.0, 0.4859275446645179
848.0, 0.5486323970288712
850.0, 0.7839216726920092
852.0, 1.002857452829028
854.0, 1.3270627487484992
856.0, 1.5857025369661273
858.0, 1.4371351488381392
860.0, 1.03397365722155
862.0, 0.7313822865147854
864.0, 0.5637230605860294
866.0, 0.5512997556462537
868.0, 0.5526476234514309
870.0, 0.5365708779988483
872.0, 0.5249642405683016
874.0, 0.5333648806857879
876.0, 0.5463554051644781
878.0, 0.5542005614821672
880.0, 0.5418467492108362
882.0, 0.5193700051267268
884.0, 0.5372901669477925
886.0, 0.5433451157905796
888.0, 0.5181000489529092
890.0, 0.5435866483534231
892.0, 0.5125793553014281
894.0, 0.5807156688202105
896.0, 0.5430812013205737
898.0, 0.5562694529836505
900.0, 0.5361587756669808
902.0, 0.5683643067333363
904.0, 0.5463496610547546
906.0, 0.560618735682523
908.0, 0.538722588613269
910.0, 0.5645231328777794
912.0, 0.5703412009413548
914.0, 0.576974982171848
916.0, 0.5958080787852615
918.0, 0.5381056195130562
920.0, 0.5653717172491132
922.0, 0.5822069811056513
924.0, 0.537139258363961
926.0, 0.5794599206395323
928.0, 0.571575824724559
930.0, 0.555885979849968
