Time sep (s?), Charge (C)
1.991211, 4.332533e-11
2.126953, 4.560654e-11
2.256836, 4.308539e-11
2.392578, 4.008377e-11
2.524414, 3.840261e-11
2.658203, 4.344557e-11
2.790039, 3.516102e-11
2.918945, 4.164448e-11
3.050781, -2.928529e-10
3.180664, -3.016021e-09
3.3125, -5.886629e-09
3.455078, -9.077104e-09
3.587891, -1.20542e-08
3.720703, -1.506274e-08
3.852539, -1.765547e-08
3.985352, -1.7654e-08
4.116211, -1.765769e-08
4.24707, -1.765177e-08
4.375, -1.764957e-08
4.506836, -1.765044e-08
4.639648, -1.765499e-08
4.772461, -1.764797e-08
4.90332, -1.765409e-08
5.03418, -1.836767e-08
5.167969, -2.128868e-08
5.300781, -2.429536e-08
5.43457, -2.735114e-08
5.566406, -3.043458e-08
5.697266, -3.346629e-08
5.829102, -3.586723e-08
5.958984, -3.5869e-08
6.088867, -3.586852e-08
6.217773, -3.586349e-08
6.350586, -3.586531e-08
6.481445, -3.585728e-08
6.611328, -3.586419e-08
6.743164, -3.585919e-08
6.874023, -3.58628e-08
7.004883, -3.634995e-08
7.135742, -3.917922e-08
7.265625, -4.205761e-08
7.396484, -4.503588e-08
7.529297, -4.810747e-08
7.661133, -5.115525e-08
7.792969, -5.399039e-08
7.924805, -5.398752e-08
8.054688, -5.399322e-08
8.1875, -5.398244e-08
8.317383, -5.398832e-08
8.452148, -5.398891e-08
8.584961, -5.398533e-08
8.71875, -5.398122e-08
8.854492, -5.398203e-08
8.986328, -5.486305e-08
9.116211, -5.763662e-08
9.24707, -6.059124e-08
9.378906, -6.359689e-08
9.511719, -6.665617e-08
9.642578, -6.965023e-08
9.772461, -7.190767e-08
9.904297, -7.190453e-08
10.03516, -7.190697e-08
10.16895, -7.190192e-08
10.29785, -7.190118e-08
10.43066, -7.190279e-08
10.5625, -7.19e-08
10.69531, -7.190648e-08
10.82617, -7.190004e-08
10.95703, -7.305335e-08
11.08887, -7.584698e-08
11.21875, -7.870435e-08
11.35449, -8.174533e-08
11.48535, -8.473856e-08
11.61816, -8.777187e-08
11.75098, -8.956243e-08
11.88379, -8.955985e-08
12.01367, -8.955681e-08
12.14551, -8.956154e-08
12.27637, -8.956339e-08
12.40918, -8.955553e-08
12.54199, -8.955806e-08
12.67383, -8.955785e-08
12.80859, -8.956124e-08
12.94141, -8.955376e-08
13.07227, -8.956004e-08
13.20117, -8.955351e-08
13.33398, -8.95572e-08
13.4668, -8.955396e-08
