Time sep (s?), Charge (C)
1.978516, 4.020377e-11
2.110352, 4.116409e-11
2.24707, 3.93631e-11
2.37793, 3.888299e-11
2.508789, 3.504096e-11
2.640625, 4.248503e-11
2.775391, 3.68421e-11
2.904297, 3.92431e-11
3.037109, -2.508514e-09
3.168945, -6.080775e-09
3.302734, -9.810707e-09
3.432617, -1.351586e-08
3.56543, -1.725926e-08
3.696289, -1.742285e-08
3.829102, -1.741958e-08
3.964844, -1.741895e-08
4.103516, -1.742202e-08
4.242188, -1.741782e-08
4.376953, -1.74207e-08
4.508789, -1.742198e-08
4.644531, -1.74233e-08
4.78125, -1.741994e-08
4.912109, -1.742421e-08
5.046875, -2.040898e-08
5.179688, -2.395675e-08
5.3125, -2.758077e-08
5.445313, -3.126557e-08
5.580078, -3.447865e-08
5.712891, -3.448002e-08
5.844727, -3.448404e-08
5.975586, -3.44824e-08
6.109375, -3.448277e-08
6.242188, -3.447804e-08
6.375977, -3.447878e-08
6.506836, -3.448492e-08
6.638672, -3.447511e-08
6.775391, -3.447398e-08
6.90918, -3.44798e-08
7.043945, -3.745904e-08
7.176758, -4.089257e-08
7.307617, -4.445793e-08
7.439453, -4.807102e-08
7.568359, -5.12896e-08
7.700195, -5.129111e-08
7.831055, -5.128583e-08
7.963867, -5.128695e-08
8.094727, -5.128859e-08
8.229492, -5.128111e-08
8.362305, -5.129055e-08
8.493164, -5.128829e-08
8.626953, -5.128093e-08
8.758789, -5.128502e-08
8.889648, -5.128583e-08
9.022461, -5.429557e-08
9.15625, -5.785325e-08
9.291016, -6.16166e-08
9.421875, -6.529193e-08
9.553711, -6.835939e-08
9.68457, -6.835892e-08
9.814453, -6.835599e-08
9.945313, -6.836119e-08
10.07813, -6.836056e-08
10.21289, -6.836014e-08
10.34668, -6.835835e-08
10.47852, -6.835441e-08
10.6123, -6.835911e-08
10.74902, -6.83552e-08
10.88477, -6.835869e-08
11.0166, -7.143176e-08
11.15039, -7.505125e-08
11.28125, -7.871357e-08
11.43652, -8.315506e-08
11.56738, -8.581238e-08
11.69629, -8.581048e-08
11.82715, -8.58159e-08
11.98145, -8.581421e-08
12.11328, -8.580426e-08
12.24609, -8.581256e-08
12.37695, -8.580689e-08
12.50684, -8.580537e-08
12.6377, -8.581103e-08
12.77539, -8.580661e-08
12.90918, -8.581164e-08
13.04297, -8.580346e-08
13.1748, -8.580676e-08
13.30762, -8.580702e-08
