Time sep (s?), Charge (C)
1.980469, 4.164511e-11
2.109375, 4.572723e-11
2.241211, 4.248544e-11
2.37207, 4.53668e-11
2.503906, 4.140483e-11
2.633789, 3.840318e-11
2.765625, 4.404644e-11
2.896484, 3.996401e-11
3.02832, 4.536687e-11
3.15918, -7.940669e-12
3.290039, -7.697688e-11
3.420898, -1.527366e-10
3.551758, -2.223733e-10
3.681641, -3.008929e-10
3.811523, -3.744913e-10
3.943359, -4.665804e-10
4.070313, -5.010385e-10
4.202148, -5.051215e-10
4.333008, -4.997157e-10
4.464844, -5.0212e-10
4.59375, -4.981563e-10
4.726563, -5.048814e-10
4.856445, -5.007965e-10
4.987305, -5.026011e-10
5.120117, -5.429411e-10
5.251953, -6.143758e-10
5.383789, -6.908579e-10
5.516602, -7.787424e-10
5.644531, -8.41297e-10
5.776367, -9.333818e-10
5.907227, -1.015629e-09
6.037109, -1.07722e-09
6.168945, -1.070258e-09
6.299805, -1.072173e-09
6.429688, -1.072057e-09
6.558594, -1.07662e-09
6.691406, -1.069055e-09
6.821289, -1.072894e-09
6.954102, -1.076621e-09
7.082031, -1.095349e-09
7.213867, -1.149979e-09
7.341797, -1.230058e-09
7.472656, -1.310018e-09
7.623047, -1.402232e-09
7.754883, -1.477629e-09
7.888672, -1.568994e-09
8.018555, -1.631072e-09
8.148438, -1.640073e-09
8.280273, -1.638039e-09
8.411133, -1.636232e-09
8.541016, -1.640196e-09
8.671875, -1.631784e-09
8.802734, -1.637194e-09
8.935547, -1.634076e-09
9.064453, -1.664442e-09
9.195313, -1.732043e-09
9.326172, -1.823047e-09
9.457031, -1.893049e-09
9.587891, -1.988615e-09
9.720703, -2.083224e-09
9.852539, -2.164386e-09
9.981445, -2.237023e-09
10.11133, -2.232222e-09
10.24414, -2.234256e-09
10.375, -2.23823e-09
10.50488, -2.239303e-09
10.63672, -2.236795e-09
10.76855, -2.236063e-09
10.89844, -2.233306e-09
11.0293, -2.268715e-09
11.16113, -2.32984e-09
11.29297, -2.423242e-09
11.42383, -2.511372e-09
11.55566, -2.58796e-09
11.68652, -2.684499e-09
11.81738, -2.771435e-09
11.94922, -2.851264e-09
12.08008, -2.856191e-09
12.21191, -2.845615e-09
12.34375, -2.853907e-09
12.47363, -2.848632e-09
12.60547, -2.849945e-09
12.73828, -2.854382e-09
12.86719, -2.852578e-09
12.99902, -2.853313e-09
13.12891, -2.849225e-09
13.26074, -2.848134e-09
13.3916, -2.851272e-09
