Time sep (s?), Charge (C)
1.983398, 4.224394e-11
2.188477, 3.936258e-11
2.334961, 3.011723e-11
2.467773, 2.315361e-11
2.604492, 2.351371e-11
2.741211, 2.003175e-11
2.881836, 8.145352e-12
3.018555, -2.93755e-09
3.155273, -1.858572e-08
3.314453, -3.876191e-08
3.446289, -5.667327e-08
3.578125, -7.409245e-08
3.710938, -9.325901e-08
3.839844, -1.117481e-07
3.972656, -1.291887e-07
4.110352, -1.29189e-07
4.24707, -1.291926e-07
4.380859, -1.291814e-07
4.512695, -1.291896e-07
4.644531, -1.291844e-07
4.775391, -1.291854e-07
4.907227, -1.291888e-07
5.100586, -1.443495e-07
5.234375, -1.61608e-07
5.363281, -1.791342e-07
5.494141, -1.976883e-07
5.628906, -2.172949e-07
5.762695, -2.36692e-07
5.902344, -2.568786e-07
6.035156, -2.608822e-07
6.168945, -2.608781e-07
6.303711, -2.608737e-07
6.4375, -2.608795e-07
6.569336, -2.608712e-07
6.700195, -2.608722e-07
6.858398, -2.608725e-07
6.99707, -2.631293e-07
7.214844, -2.890968e-07
7.347656, -3.072362e-07
7.611328, -3.439084e-07
7.780273, -3.678703e-07
7.962891, -3.926581e-07
8.129883, -3.926531e-07
8.258789, -3.926466e-07
8.390625, -3.926462e-07
8.5625, -3.926392e-07
8.71875, -3.926338e-07
8.912109, -3.926417e-07
9.239258, -4.234528e-07
9.370117, -4.413209e-07
9.501953, -4.58341e-07
9.632813, -4.761561e-07
9.860352, -5.082908e-07
9.996094, -5.208571e-07
10.32129, -5.208363e-07
10.45313, -5.208418e-07
10.58496, -5.208331e-07
10.71484, -5.208345e-07
10.9209, -5.208292e-07
11.2207, -5.466068e-07
11.35156, -5.637937e-07
11.4834, -5.819697e-07
11.61523, -6.006529e-07
11.87988, -6.373933e-07
12.01855, -6.488665e-07
12.15332, -6.488607e-07
12.28613, -6.488577e-07
12.41699, -6.4886e-07
12.62207, -6.488506e-07
12.94531, -6.488376e-07
13.08496, -6.48838e-07
13.21777, -6.488403e-07
13.34961, -6.488315e-07
