Time sep (s?), Charge (C)
1.99707, 3.672098e-11
2.131836, 2.963703e-11
2.458008, 1.042666e-11
2.80957, -2.060012e-12
3.072266, -1.563402e-08
3.303711, -8.9851e-08
3.537109, -1.698946e-07
3.667969, -2.16601e-07
3.798828, -2.644569e-07
4.881836, -3.345309e-07
5.541992, -3.345277e-07
5.672852, -3.3453e-07
5.805664, -3.34531e-07
5.944336, -3.614254e-07
6.269531, -4.728439e-07
6.446289, -5.351396e-07
6.579102, -5.826399e-07
6.867188, -6.7369e-07
7.267578, -6.736526e-07
7.509766, -6.736433e-07
7.640625, -6.736398e-07
7.772461, -6.736348e-07
8.014648, -7.222329e-07
8.175781, -7.768259e-07
8.592773, -9.260667e-07
8.894531, -1.019995e-06
9.575195, -1.019946e-06
9.707031, -1.019931e-06
9.839844, -1.019932e-06
10.16992, -1.078422e-06
10.49805, -1.194775e-06
10.62695, -1.24249e-06
10.75879, -1.291819e-06
11.0127, -1.369053e-06
11.47168, -1.369009e-06
11.61914, -1.36899e-06
11.94531, -1.368977e-06
12.17773, -1.36897e-06
12.32129, -1.392413e-06
12.45605, -1.437399e-06
12.58789, -1.483028e-06
12.88574, -1.590053e-06
13.0166, -1.639217e-06
14.13574, -1.713458e-06
