Time sep (ms?), Charge (C)
176.18, -8.561e-09
178.18, -8.634e-09
180.18, -8.702e-09
182.18, -8.774e-09
184.18, -8.846e-09
186.19, -8.921e-09
188.19, -8.99e-09
190.19, -9.062e-09
192.19, -9.135e-09
194.19, -9.207e-09
196.2, -9.282e-09
198.2, -9.359e-09
200.2, -9.438e-09
202.2, -9.508e-09
204.2, -9.578e-09
206.21, -9.646e-09
208.21, -9.719e-09
210.21, -9.786e-09
212.21, -9.853e-09
214.21, -9.917e-09
216.22, -9.983e-09
218.22, -1.0046e-08
220.22, -1.011e-08
222.22, -1.0174e-08
224.22, -1.0235e-08
226.23, -1.0294e-08
228.23, -1.0358e-08
230.23, -1.0422e-08
232.23, -1.0492e-08
234.23, -1.0565e-08
236.24, -1.0644e-08
238.24, -1.072e-08
240.24, -1.0792e-08
242.24, -1.0866e-08
244.24, -1.0936e-08
246.25, -1.1015e-08
248.25, -1.109e-08
250.25, -1.1157e-08
252.25, -1.1227e-08
254.25, -1.13e-08
256.26, -1.1377e-08
258.26, -1.1449e-08
260.26, -1.1525e-08
262.26, -1.16e-08
264.26, -1.1674e-08
266.27, -1.174e-08
268.27, -1.1813e-08
270.27, -1.1891e-08
272.27, -1.197e-08
274.27, -1.2049e-08
276.28, -1.2126e-08
278.28, -1.2204e-08
280.28, -1.2283e-08
282.28, -1.2363e-08
284.28, -1.2445e-08
286.29, -1.2529e-08
288.29, -1.2607e-08
290.29, -1.2689e-08
292.29, -1.2771e-08
294.29, -1.2852e-08
296.3, -1.2933e-08
298.3, -1.3014e-08
300.3, -1.3093e-08
302.3, -1.318e-08
304.3, -1.3262e-08
306.31, -1.3341e-08
308.31, -1.3421e-08
310.31, -1.3502e-08
312.31, -1.3579e-08
314.31, -1.3658e-08
316.32, -1.3736e-08
318.32, -1.3817e-08
320.32, -1.3895e-08
322.32, -1.3978e-08
324.32, -1.4064e-08
326.33, -1.4148e-08
328.33, -1.4229e-08
330.33, -1.4308e-08
332.33, -1.4388e-08
334.33, -1.4466e-08
336.34, -1.454e-08
338.34, -1.4615e-08
340.34, -1.4693e-08
342.34, -1.4772e-08
344.34, -1.485e-08
346.35, -1.4932e-08
348.35, -1.5015e-08
350.35, -1.5102e-08
352.35, -1.5189e-08
