Time sep (s?), Charge (C)
2.041016, 3.131825e-11
2.192383, 7.905503e-12
2.341797, -2.559336e-11
2.490234, -4.900564e-11
2.642578, -8.022302e-11
2.787109, -9.859352e-11
2.931641, -1.179238e-10
3.078125, -4.474867e-08
3.227539, -1.552968e-07
3.376953, -2.719862e-07
3.524414, -3.876879e-07
3.673828, -5.057465e-07
3.824219, -6.256353e-07
3.967773, -7.40806e-07
4.112305, -7.571776e-07
4.261719, -7.571562e-07
4.413086, -7.5715e-07
4.558594, -7.571492e-07
4.704102, -7.571478e-07
4.851563, -7.571522e-07
4.999023, -7.571493e-07
5.149414, -8.517941e-07
5.292969, -9.631232e-07
5.439453, -1.076651e-06
5.586914, -1.194284e-06
5.736328, -1.314216e-06
5.884766, -1.433532e-06
6.030273, -1.5187e-06
6.175781, -1.51866e-06
6.327148, -1.518652e-06
6.473633, -1.518626e-06
6.618164, -1.518622e-06
6.762695, -1.518617e-06
6.910156, -1.518607e-06
7.056641, -1.551069e-06
7.205078, -1.660931e-06
7.350586, -1.773191e-06
7.495117, -1.886933e-06
7.644531, -2.005595e-06
7.861328, -2.175359e-06
8.011719, -2.274192e-06
8.15332, -2.274232e-06
8.298828, -2.27418e-06
8.445313, -2.274155e-06
8.589844, -2.27413e-06
8.738281, -2.274131e-06
8.886719, -2.274053e-06
9.036133, -2.276983e-06
9.18457, -2.383463e-06
9.333984, -2.497702e-06
9.479492, -2.611594e-06
9.625977, -2.72663e-06
9.776367, -2.843966e-06
9.917969, -2.956695e-06
10.06152, -3.022955e-06
10.21191, -3.022885e-06
10.36133, -3.022812e-06
10.50684, -3.022756e-06
10.65137, -3.022798e-06
10.79785, -3.022758e-06
10.94531, -3.022761e-06
11.09473, -3.07679e-06
11.24316, -3.187241e-06
11.38574, -3.296207e-06
11.5332, -3.410483e-06
11.68262, -3.527028e-06
11.83203, -3.643787e-06
11.97754, -3.757712e-06
12.12598, -3.766914e-06
12.27539, -3.766873e-06
12.4248, -3.766928e-06
13.38184, -3.766775e-06
13.55859, -3.766748e-06
