Time sep (s?), Charge (C)
1.984375, 3.083792e-11
2.116211, 2.742195e-12
2.245117, -2.751394e-11
2.37793, -6.281387e-11
2.516602, -8.80269e-11
2.657227, -1.132415e-10
2.801758, -1.373737e-10
2.951172, -1.695528e-10
3.100586, -1.026751e-07
3.232422, -2.262534e-07
3.370117, -3.550576e-07
3.509766, -4.88278e-07
3.654297, -6.267845e-07
3.790039, -7.572189e-07
3.925781, -8.869607e-07
4.06543, -9.148956e-07
4.208984, -9.148704e-07
4.354492, -9.148567e-07
4.503906, -9.148631e-07
4.646484, -9.148507e-07
4.783203, -9.148571e-07
4.922852, -9.148562e-07
5.066406, -9.521843e-07
5.208008, -1.080904e-06
5.356445, -1.218408e-06
5.505859, -1.358645e-06
5.645508, -1.49105e-06
5.786133, -1.625002e-06
5.930664, -1.761264e-06
6.078125, -1.822409e-06
6.223633, -1.822378e-06
6.37207, -1.822348e-06
6.512695, -1.822337e-06
6.650391, -1.822327e-06
6.791016, -1.822307e-06
6.935547, -1.8223e-06
7.081055, -1.849882e-06
7.226563, -1.980671e-06
7.443359, -2.17703e-06
7.578125, -2.305467e-06
7.71875, -2.438383e-06
7.860352, -2.573344e-06
8.001953, -2.710994e-06
8.149414, -2.728696e-06
8.297852, -2.728651e-06
8.43457, -2.72872e-06
8.574219, -2.72862e-06
8.712891, -2.728593e-06
8.856445, -2.728583e-06
9.004883, -2.728609e-06
9.154297, -2.836036e-06
9.296875, -2.967722e-06
9.435547, -3.099765e-06
9.577148, -3.235639e-06
9.72168, -3.374034e-06
9.868164, -3.514933e-06
10.01367, -3.64467e-06
10.15723, -3.644564e-06
10.29395, -3.64457e-06
10.43555, -3.644469e-06
10.58203, -3.644409e-06
10.72754, -3.644425e-06
10.87695, -3.644435e-06
11.01953, -3.648912e-06
11.1582, -3.772399e-06
11.2998, -3.904662e-06
11.44434, -4.042858e-06
11.59082, -4.184466e-06
11.74023, -4.329704e-06
11.88574, -4.471082e-06
12.02734, -4.568199e-06
12.1709, -4.568156e-06
12.31348, -4.568136e-06
12.46094, -4.5681e-06
12.61035, -4.568155e-06
12.74707, -4.568079e-06
12.88672, -4.568016e-06
13.03027, -4.568004e-06
13.17383, -4.568044e-06
13.37793, -4.568039e-06
13.52441, -4.568004e-06
