Time sep (s?), Charge (C)
1.978516, 3.888206e-11
2.107422, 5.744197e-12
2.236328, -2.355185e-11
2.368164, -5.729064e-11
2.500977, -8.370573e-11
2.633789, -1.084388e-10
2.763672, -1.359345e-10
2.895508, -1.545432e-10
3.027344, -6.729699e-08
3.160156, -1.863225e-07
3.290039, -3.054232e-07
3.420898, -4.270601e-07
3.551758, -5.510772e-07
3.681641, -6.750768e-07
3.8125, -7.98291e-07
3.945313, -8.981925e-07
4.078125, -8.981555e-07
4.209961, -8.98152e-07
4.339844, -8.981438e-07
4.47168, -8.981394e-07
4.605469, -8.981424e-07
4.738281, -8.98132e-07
4.870117, -8.981402e-07
5.000977, -9.771065e-07
5.130859, -1.096648e-06
5.259766, -1.216988e-06
5.390625, -1.34055e-06
5.522461, -1.464713e-06
5.652344, -1.588178e-06
5.780273, -1.709534e-06
5.913086, -1.806219e-06
6.044922, -1.806178e-06
6.176758, -1.806161e-06
6.306641, -1.806135e-06
6.4375, -1.806128e-06
6.570313, -1.806107e-06
6.702148, -1.806094e-06
6.833984, -1.806094e-06
6.963867, -1.886066e-06
7.094727, -2.006818e-06
7.297852, -2.195029e-06
7.428711, -2.320466e-06
7.5625, -2.448011e-06
7.694336, -2.573773e-06
7.825195, -2.699611e-06
7.953125, -2.71755e-06
8.084961, -2.717578e-06
8.216797, -2.717542e-06
8.34668, -2.717485e-06
8.478516, -2.717554e-06
8.610352, -2.717416e-06
8.740234, -2.717472e-06
8.871094, -2.729361e-06
9.00293, -2.847916e-06
9.134766, -2.970318e-06
9.265625, -3.092163e-06
9.398438, -3.216704e-06
9.529297, -3.341064e-06
9.661133, -3.465114e-06
9.791992, -3.588343e-06
9.922852, -3.621217e-06
10.05566, -3.621205e-06
10.18652, -3.621149e-06
10.31738, -3.621167e-06
10.4502, -3.621024e-06
10.58203, -3.621089e-06
10.71289, -3.621055e-06
10.84473, -3.639479e-06
10.97852, -3.756962e-06
11.11035, -3.878086e-06
11.23828, -3.997567e-06
11.37109, -4.121032e-06
11.50488, -4.245931e-06
11.63574, -4.369155e-06
11.76465, -4.490927e-06
11.89355, -4.515273e-06
12.02539, -4.515191e-06
12.15723, -4.515123e-06
12.28906, -4.515127e-06
12.41797, -4.515118e-06
12.54883, -4.51509e-06
12.68066, -4.515061e-06
12.8125, -4.515094e-06
12.94434, -4.514952e-06
13.07617, -4.515013e-06
13.20508, -4.514999e-06
13.33594, -4.515006e-06
13.46875, -4.51499e-06
