Time sep (s?), Charge (C)
1.987305, 4.116413e-11
2.119141, 3.720179e-11
2.250977, 3.924318e-11
2.381836, 3.852256e-11
2.515625, 4.332514e-11
2.645508, 4.212466e-11
2.777344, 3.492057e-11
2.90918, 4.332543e-11
3.040039, -1.129339e-08
3.170898, -1.128788e-08
3.302734, -1.128725e-08
3.435547, -1.128886e-08
3.566406, -1.129143e-08
3.695313, -1.128681e-08
3.829102, -1.128848e-08
3.960938, -1.129474e-08
4.091797, -1.128329e-08
4.223633, -1.129195e-08
4.355469, -1.128922e-08
4.487305, -1.129087e-08
4.618164, -1.12921e-08
4.75, -1.129301e-08
4.883789, -1.129314e-08
5.014648, -2.250521e-08
5.143555, -2.250195e-08
5.276367, -2.250292e-08
5.40625, -2.250446e-08
5.538086, -2.250135e-08
5.666016, -2.250039e-08
5.794922, -2.250291e-08
5.925781, -2.250242e-08
6.054688, -2.249849e-08
6.186523, -2.250614e-08
6.318359, -2.249894e-08
6.448242, -2.250143e-08
6.577148, -2.249774e-08
6.709961, -2.25059e-08
6.84082, -2.249534e-08
6.970703, -3.323643e-08
7.100586, -3.323077e-08
7.230469, -3.323499e-08
7.358398, -3.32339e-08
7.488281, -3.323277e-08
7.619141, -3.323369e-08
7.750977, -3.323245e-08
7.881836, -3.323189e-08
8.009766, -3.322682e-08
8.140625, -3.323069e-08
8.272461, -3.323218e-08
8.40332, -3.323152e-08
8.53125, -3.322778e-08
8.664063, -3.323654e-08
8.796875, -3.322151e-08
8.928711, -4.443803e-08
9.057617, -4.442882e-08
9.188477, -4.443067e-08
9.320313, -4.443318e-08
9.449219, -4.443484e-08
9.579102, -4.442642e-08
9.709961, -4.442943e-08
9.841797, -4.443606e-08
9.97168, -4.442938e-08
10.10254, -4.443098e-08
10.2334, -4.442865e-08
10.36523, -4.443266e-08
10.49316, -4.443092e-08
10.62402, -4.442962e-08
10.75586, -4.44296e-08
10.8877, -5.430633e-08
11.0166, -5.563202e-08
11.14941, -5.563141e-08
11.28125, -5.562756e-08
11.41113, -5.563315e-08
11.58887, -5.562395e-08
11.7168, -5.562451e-08
11.84766, -5.562902e-08
11.97754, -5.562248e-08
12.10645, -5.562131e-08
12.23633, -5.562603e-08
12.36719, -5.56217e-08
12.49902, -5.562203e-08
12.63281, -5.562847e-08
12.76367, -5.561936e-08
12.89355, -5.56253e-08
13.02344, -5.562257e-08
13.15527, -5.562596e-08
13.28516, -5.561799e-08
13.41504, -5.562563e-08
