Wavelength (nm), Reflectance 
648, 0.8113
649, 0.8107
650, 0.8102
651, 0.8096
652, 0.8090
653, 0.8084
654, 0.8078
655, 0.8072
656, 0.8066
657, 0.8060
658, 0.8054
659, 0.8048
660, 0.8041
661, 0.8035
662, 0.8029
663, 0.8022
664, 0.8016
665, 0.8009
666, 0.8003
667, 0.7996
668, 0.7990
669, 0.7983
670, 0.7977
671, 0.7970
672, 0.7964
673, 0.7958
674, 0.7951
675, 0.7945
676, 0.7938
677, 0.7932
678, 0.7926
679, 0.7919
680, 0.7913
681, 0.7907
682, 0.7900
683, 0.7894
684, 0.7888
685, 0.7882
686, 0.7875
687, 0.7869
688, 0.7863
689, 0.7856
690, 0.7850
691, 0.7844
692, 0.7837
693, 0.7831
694, 0.7824
695, 0.7817
696, 0.7811
697, 0.7804
698, 0.7797
699, 0.7790
700, 0.7783
701, 0.7775
702, 0.7768
703, 0.7761
704, 0.7753
705, 0.7745
706, 0.7738
707, 0.7730
708, 0.7721
709, 0.7713
710, 0.7705
711, 0.7696
712, 0.7688
713, 0.7679
714, 0.7671
715, 0.7662
716, 0.7653
717, 0.7644
718, 0.7635
719, 0.7625
720, 0.7616
721, 0.7607
722, 0.7598
723, 0.7588
724, 0.7579
725, 0.7569
726, 0.7559
727, 0.7550
728, 0.7540
729, 0.7530
730, 0.7521
731, 0.7511
732, 0.7501
733, 0.7491
734, 0.7482
735, 0.7472
736, 0.7462
737, 0.7452
738, 0.7443
739, 0.7433
740, 0.7423
741, 0.7413
742, 0.7404
743, 0.7394
744, 0.7384
745, 0.7375
746, 0.7365
747, 0.7356
748, 0.7346
749, 0.7336
750, 0.7327
751, 0.7317
752, 0.7308
753, 0.7298
754, 0.7289
755, 0.7280
756, 0.7270
757, 0.7261
758, 0.7251
759, 0.7242
760, 0.7232
761, 0.7223
762, 0.7214
763, 0.7204
764, 0.7195
765, 0.7185
766, 0.7176
767, 0.7166
768, 0.7156
769, 0.7147
770, 0.7137
771, 0.7127
772, 0.7117
773, 0.7107
774, 0.7097
775, 0.7087
776, 0.7076
777, 0.7065
778, 0.7055
779, 0.7044
780, 0.7032
781, 0.7021
782, 0.7009
783, 0.6998
784, 0.6986
785, 0.6973
786, 0.6961
787, 0.6948
788, 0.6935
789, 0.6922
790, 0.6908
791, 0.6894
792, 0.6881
793, 0.6867
794, 0.6853
795, 0.6839
796, 0.6825
797, 0.6811
798, 0.6798
799, 0.6784
800, 0.6771
801, 0.6758
802, 0.6745
803, 0.6733
804, 0.6721
805, 0.6710
806, 0.6699
807, 0.6688
808, 0.6678
809, 0.6669
810, 0.6660
811, 0.6652
812, 0.6644
813, 0.6637
814, 0.6631
815, 0.6625
816, 0.6619
817, 0.6614
818, 0.6610
819, 0.6606
820, 0.6602
821, 0.6598
822, 0.6595
823, 0.6592
824, 0.6589
825, 0.6586
826, 0.6584
827, 0.6581
828, 0.6579
829, 0.6577
830, 0.6575
831, 0.6573
832, 0.6572
833, 0.6570
834, 0.6569
835, 0.6568
836, 0.6567
837, 0.6566
838, 0.6566
839, 0.6566
840, 0.6565
841, 0.6565
842, 0.6566
843, 0.6566
844, 0.6566
845, 0.6567
846, 0.6568
847, 0.6569
848, 0.6571
849, 0.6572
850, 0.6574
851, 0.6576
852, 0.6578
853, 0.6581
854, 0.6583
855, 0.6586
856, 0.6589
857, 0.6593
858, 0.6596
859, 0.6600
860, 0.6604
861, 0.6609
862, 0.6613
863, 0.6618
864, 0.6624
865, 0.6629
866, 0.6635
867, 0.6641
868, 0.6647
869, 0.6654
870, 0.6661
871, 0.6668
872, 0.6675
873, 0.6682
874, 0.6690
875, 0.6698
876, 0.6706
877, 0.6714
878, 0.6722
879, 0.6731
880, 0.6739
881, 0.6748
882, 0.6756
883, 0.6765
884, 0.6774
885, 0.6782
886, 0.6791
887, 0.6800
888, 0.6808
889, 0.6817
890, 0.6825
891, 0.6834
892, 0.6842
893, 0.6850
894, 0.6859
895, 0.6867
896, 0.6874
897, 0.6882
898, 0.6890
899, 0.6898
900, 0.6905
901, 0.6912
902, 0.6920
903, 0.6927
904, 0.6934
905, 0.6941
906, 0.6949
907, 0.6956
908, 0.6963
909, 0.6970
910, 0.6976
911, 0.6983
912, 0.6990
913, 0.6997
914, 0.7004
915, 0.7011
916, 0.7017
917, 0.7024
918, 0.7031
919, 0.7038
920, 0.7045
921, 0.7051
922, 0.7058
923, 0.7065
924, 0.7072
925, 0.7079
926, 0.7086
927, 0.7093
928, 0.7100
929, 0.7107
930, 0.7114
931, 0.7121
932, 0.7128
933, 0.7135
934, 0.7142
935, 0.7149
936, 0.7157
937, 0.7164
938, 0.7171
939, 0.7178
940, 0.7185
941, 0.7192
942, 0.7199
943, 0.7207
944, 0.7214
945, 0.7221
946, 0.7228
947, 0.7235
948, 0.7242
949, 0.7249
950, 0.7256
951, 0.7263
952, 0.7270
953, 0.7277
954, 0.7284
955, 0.7291
956, 0.7298
957, 0.7304
958, 0.7311
959, 0.7318
960, 0.7324
961, 0.7331
962, 0.7338
963, 0.7344
964, 0.7350
965, 0.7357
966, 0.7363
967, 0.7369
968, 0.7376
969, 0.7382
970, 0.7388
971, 0.7394
972, 0.7400
973, 0.7406
974, 0.7412
975, 0.7418
976, 0.7424
977, 0.7430
978, 0.7436
979, 0.7441
980, 0.7447
981, 0.7453
982, 0.7458
983, 0.7464
984, 0.7469
985, 0.7475
986, 0.7480
987, 0.7486
988, 0.7491
989, 0.7496
990, 0.7502
991, 0.7507
992, 0.7512
993, 0.7517
994, 0.7522
995, 0.7527
996, 0.7532
997, 0.7537
998, 0.7542
999, 0.7547
        1000, 0.7552
        1001, 0.7557
        1002, 0.7562
        1003, 0.7567
        1004, 0.7571
        1005, 0.7576
        1006, 0.7581
