Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 1.011299587763435e-07, 6.807982452645283e-09
360.0, 1.2919167319758964e-07, 8.637188911395897e-09
370.0, 1.4747176382188557e-07, 8.570987916522938e-09
380.0, 1.441450511446749e-07, 9.283996706293969e-09
390.0, 1.6431667913213754e-07, 1.1145102005359488e-08
400.0, 1.749273158178084e-07, 1.1321555410926668e-08
420.0, 2.2591747813820106e-07, 1.598255042124092e-08
430.0, 2.081581347485241e-07, 1.6667770414250165e-08
440.0, 1.8470338629365407e-07, 1.584173254049919e-08
450.0, 1.708928614828616e-07, 1.714398559349002e-08
460.0, 1.6429491686258568e-07, 1.678332450023978e-08
470.0, 1.6292795151184258e-07, 1.6979795058719548e-08
480.0, 1.5977605318445097e-07, 1.762029722564023e-08
490.0, 1.5629472909534632e-07, 1.6148618826599745e-08
500.0, 1.4947218036754956e-07, 1.782664677988083e-08
510.0, 1.386252773626611e-07, 1.5883121432133634e-08
520.0, 1.3139142906260943e-07, 1.7701927112029364e-08
530.0, 1.2500833871778918e-07, 1.6690126941160496e-08
540.0, 1.2086720524173698e-07, 1.8082382129114717e-08
550.0, 1.1556942636823849e-07, 1.750624689415541e-08
560.0, 1.1083941679320746e-07, 1.6388710562665043e-08
570.0, 1.1195504011995135e-07, 1.7722167651949174e-08
580.0, 1.0830220313429072e-07, 1.765348430216125e-08
590.0, 1.0633304424767755e-07, 1.72635356938328e-08
610.0, 9.436383448157995e-08, 1.6192474894388074e-08
620.0, 9.058301672682742e-08, 1.6091660539490716e-08
630.0, 8.280191025418149e-08, 1.535564785358926e-08
640.0, 8.20712679902195e-08, 1.5657249101810302e-08
650.0, 7.73865227280512e-08, 1.5542732888439272e-08
660.0, 7.442636799343648e-08, 1.5711593450741464e-08
670.0, 7.021408513225189e-08, 1.4545770591804168e-08
680.0, 7.07128877663472e-08, 1.6239664622836803e-08
690.0, 6.805224994683137e-08, 1.6013153348915772e-08
700.0, 6.924822943392325e-08, 1.6722104972941826e-08
710.0, 6.604882728987251e-08, 1.0968118756480838e-08
720.0, 5.967479432910873e-08, 1.5818044833239728e-08
730.0, 6.367321485812314e-08, 1.6398016235347708e-08
740.0, 6.103808091372033e-08, 1.6251754415655075e-08
750.0, 5.9137326354824285e-08, 1.6377330442281513e-08
760.0, 5.956079244759042e-08, 1.6686454457333725e-08
770.0, 5.996275275356312e-08, 1.651159310501965e-08
780.0, 5.748943798411501e-08, 1.629593853678204e-08
790.0, 5.574601208818493e-08, 1.5248791449879755e-08
800.0, 5.6140557390739396e-08, 1.5991582259473285e-08
810.0, 5.525867572557177e-08, 1.601253795769872e-08
820.0, 5.288176695688677e-08, 1.593680783660978e-08
830.0, 5.2841412136381776e-08, 1.6027581412935628e-08
840.0, 5.433185557110704e-08, 1.5743887146761454e-08
850.0, 5.6191821091318315e-08, 1.5817039670763493e-08
860.0, 6.088605050852386e-08, 1.5989290441459614e-08
870.0, 5.4387766908783524e-08, 1.5480400235828818e-08
880.0, 5.5931861261135215e-08, 1.5954386731300515e-08
890.0, 5.806234840442923e-08, 1.6040095573799647e-08
