Time sep (s?), Charge (C)
1.985352, 3.888242e-11
2.114258, 3.876199e-11
2.243164, 4.224426e-11
2.375977, 3.491988e-11
2.507813, 3.684127e-11
2.639648, 3.588051e-11
2.771484, 3.876217e-11
2.90332, 3.780182e-11
3.033203, -7.325388e-10
3.165039, -3.112001e-09
3.295898, -5.603614e-09
3.425781, -8.134206e-09
3.558594, -1.07362e-08
3.69043, -1.331022e-08
3.821289, -1.589087e-08
3.951172, -1.843813e-08
4.079102, -1.857609e-08
4.213867, -1.858183e-08
4.34375, -1.858479e-08
4.473633, -1.858344e-08
4.605469, -1.858504e-08
4.735352, -1.858411e-08
4.868164, -1.858407e-08
4.998047, -1.897749e-08
5.128906, -2.140906e-08
5.260742, -2.391298e-08
5.390625, -2.646043e-08
5.521484, -2.904391e-08
5.652344, -3.166275e-08
5.783203, -3.426607e-08
5.915039, -3.691849e-08
6.046875, -3.753928e-08
6.177734, -3.754319e-08
6.308594, -3.753599e-08
6.439453, -3.754324e-08
6.569336, -3.753583e-08
6.700195, -3.753969e-08
6.830078, -3.75369e-08
6.959961, -3.787994e-08
7.09082, -4.031364e-08
7.222656, -4.288446e-08
7.351563, -4.543775e-08
7.484375, -4.805739e-08
7.614258, -5.065429e-08
7.744141, -5.328389e-08
7.87207, -5.589184e-08
8.000977, -5.663764e-08
8.131836, -5.664114e-08
8.263672, -5.663177e-08
8.393555, -5.663692e-08
8.523438, -5.663312e-08
8.654297, -5.663779e-08
8.78418, -5.663581e-08
8.916016, -5.663764e-08
9.045898, -5.871001e-08
9.176758, -6.122162e-08
9.306641, -6.378986e-08
9.438477, -6.640288e-08
9.571289, -6.907993e-08
9.700195, -7.17033e-08
9.832031, -7.434106e-08
9.960938, -7.576199e-08
10.09277, -7.575476e-08
10.22461, -7.575686e-08
10.35449, -7.575831e-08
10.4873, -7.575574e-08
10.62109, -7.576224e-08
10.75195, -7.575653e-08
10.88379, -7.575695e-08
11.01563, -7.757869e-08
11.14844, -8.011e-08
11.27734, -8.263684e-08
11.40918, -8.525636e-08
11.54004, -8.787846e-08
11.66895, -9.045754e-08
11.7998, -9.307089e-08
11.93066, -9.46771e-08
12.06152, -9.467377e-08
12.19238, -9.467855e-08
12.32422, -9.466802e-08
12.45605, -9.467362e-08
12.58496, -9.466978e-08
12.71387, -9.467603e-08
12.84473, -9.466773e-08
12.97656, -9.46708e-08
13.10742, -9.466824e-08
13.23828, -9.466797e-08
13.36914, -9.467475e-08
13.50098, -9.466655e-08
13.62988, -9.467071e-08
