Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 1.2475458449612406e-05, 7.699904928571423e-09
354.0, 1.4846214042968755e-05, 8.592426142857144e-09
358.0, 1.4405532446808513e-05, 7.4019061249999985e-09
362.0, 1.542485576470587e-05, 8.48139653846156e-09
366.0, 1.5006722259332013e-05, 7.847282875e-09
370.0, 1.7150090229885067e-05, 9.138309326923088e-09
374.0, 1.8160649216061185e-05, 9.694163749999999e-09
378.0, 1.6217572456140353e-05, 9.1977825e-09
382.0, 1.827233504690432e-05, 1.0046241624999996e-08
386.0, 1.807167650943397e-05, 9.969716249999992e-09
390.0, 1.893062744063325e-05, 1.1346299230769243e-08
394.0, 1.9384468494208508e-05, 1.1257961250000006e-08
398.0, 2.1128064468085118e-05, 1.2109801666666671e-08
402.0, 2.2656790683593755e-05, 1.2627725500000002e-08
406.0, 2.5360387757009357e-05, 1.4658754999999994e-08
410.0, 2.7620375050505053e-05, 1.6459045714285712e-08
414.0, 3.243595376623377e-05, 1.7502977500000026e-08
418.0, 3.058211619771863e-05, 1.8976478035714295e-08
422.0, 3.1937085988483684e-05, 2.1439803846153885e-08
426.0, 3.0286163458646617e-05, 2.0655926249999987e-08
430.0, 2.9133005616438352e-05, 2.0598186249999984e-08
434.0, 3.0020489312977107e-05, 2.1913342499999978e-08
438.0, 2.948004031894934e-05, 2.307238894230773e-08
446.0, 2.757827635496184e-05, 2.416706999999999e-08
450.0, 3.0042635311909256e-05, 2.534069e-08
454.0, 2.8125384824120604e-05, 2.4987894999999998e-08
458.0, 2.923952878326996e-05, 2.6095760714285693e-08
462.0, 2.761306066406251e-05, 2.5161173653846174e-08
466.0, 2.818191380281691e-05, 2.491097249999999e-08
470.0, 2.7150580251937976e-05, 2.4253688749999996e-08
474.0, 2.552118286908079e-05, 2.383072142857143e-08
478.0, 2.582450990706319e-05, 2.3168524999999998e-08
482.0, 2.306883204545454e-05, 2.2113928750000028e-08
486.0, 2.2892225168539332e-05, 2.112811857142858e-08
490.0, 2.0818573947368425e-05, 2.001151458333337e-08
494.0, 1.99848079406308e-05, 1.895034351648351e-08
498.0, 1.912627270417423e-05, 1.8817987499999998e-08
502.0, 1.9744559420289866e-05, 1.893137624999999e-08
506.0, 2.0250667777777777e-05, 2.0794766249999994e-08
510.0, 2.2554764691358034e-05, 2.3537082857142855e-08
514.0, 2.267319228239845e-05, 2.507105982142858e-08
518.0, 2.1898591284046698e-05, 2.4370066249999988e-08
522.0, 2.1599981024667932e-05, 2.3419043749999993e-08
526.0, 2.273788233463035e-05, 2.4268542619047634e-08
530.0, 2.220331945631069e-05, 2.463348249999999e-08
534.0, 1.5459464642857144e-05, 1.7575683749999996e-08
538.0, 1.6041031364522417e-05, 1.8483327499999984e-08
542.0, 1.585493516377649e-05, 1.908811125e-08
546.0, 1.5601535992366422e-05, 1.872466767857144e-08
550.0, 1.602877884615385e-05, 1.977039499999999e-08
554.0, 1.5617481072796934e-05, 2.0785292499999986e-08
558.0, 1.6563360882917466e-05, 2.0690575000000017e-08
562.0, 1.6210223959484346e-05, 2.0388357500000007e-08
566.0, 1.654433737532809e-05, 2.0244028749999978e-08
570.0, 1.6397831922330103e-05, 1.9658406249999994e-08
574.0, 1.5452879924528312e-05, 1.9259425096153837e-08
578.0, 1.388082339181287e-05, 1.8663271250000024e-08
582.0, 1.5148195305555563e-05, 1.8908598749999994e-08
586.0, 1.4788213632812503e-05, 1.9138854999999994e-08
590.0, 1.5015315402930403e-05, 1.8650772499999995e-08
594.0, 1.484155681381958e-05, 1.8646201428571462e-08
598.0, 1.345716736842106e-05, 1.8559231250000003e-08
602.0, 1.3108495038167943e-05, 1.8050999999999994e-08
606.0, 1.3108107684824906e-05, 1.756317e-08
