Time sep (ms?), Current (A)
530.53, -3.112e-08
532.53, -2.978e-08
534.53, -2.801e-08
536.54, -2.906e-08
538.54, -3.37e-08
540.54, -3.007e-08
542.54, -3.241e-08
544.54, -3.357e-08
546.55, -3.065e-08
548.55, -3.101e-08
550.55, -3.368e-08
552.55, -3.056e-08
554.55, -2.73e-08
556.56, -2.812e-08
558.56, -3.163e-08
560.56, -3.309e-08
562.56, -2.831e-08
564.56, -2.962e-08
566.57, -2.934e-08
568.57, -2.995e-08
570.57, -2.93e-08
572.57, -3.256e-08
574.57, -3.037e-08
576.58, -2.708e-08
578.58, -3.056e-08
580.58, -2.924e-08
582.58, -2.974e-08
584.58, -3.026e-08
586.59, -3.275e-08
588.59, -3.247e-08
590.59, -2.971e-08
592.59, -3.005e-08
594.59, -2.893e-08
596.6, -3.155e-08
598.6, -3.086e-08
600.6, -3.291e-08
602.6, -2.733e-08
604.6, -2.922e-08
606.61, -3.292e-08
608.61, -3.193e-08
610.61, -3.114e-08
612.61, -3.236e-08
614.61, -3.255e-08
616.62, -3.404e-08
618.62, -3.077e-08
620.62, -3.377e-08
622.62, -3.477e-08
624.62, -2.916e-08
626.63, -3.332e-08
628.63, -3.517e-08
630.63, -3.259e-08
632.63, -3.38e-08
634.63, -3.429e-08
636.64, -3.324e-08
638.64, -3.456e-08
640.64, -3.26e-08
642.64, -3.248e-08
644.64, -3.226e-08
646.65, -3.428e-08
648.65, -3.333e-08
650.65, -3.481e-08
652.65, -3.077e-08
654.65, -3.463e-08
656.66, -3.533e-08
658.66, -2.994e-08
660.66, -3.319e-08
662.66, -3.049e-08
664.66, -3.038e-08
666.67, -3.001e-08
668.67, -2.887e-08
670.67, -3.088e-08
672.67, -3.105e-08
674.67, -3.124e-08
676.68, -3.101e-08
678.68, -3.375e-08
680.68, -3.088e-08
682.68, -3.175e-08
684.68, -2.826e-08
686.69, -3.162e-08
688.69, -2.976e-08
690.69, -3.091e-08
692.69, -2.981e-08
694.69, -2.948e-08
696.7, -3.296e-08
698.7, -3.012e-08
700.7, -3.037e-08
702.7, -3.291e-08
704.7, -3.335e-08
706.71, -3.319e-08
708.71, -2.605e-08
710.71, -3.288e-08
712.71, -3.181e-08
714.71, -3.048e-08
716.72, -2.847e-08
718.72, -2.97e-08
720.72, -3.071e-08
722.72, -2.885e-08
724.72, -3.188e-08
726.73, -2.81e-08
728.73, -2.961e-08
730.73, -2.994e-08
732.73, -2.97e-08
734.73, -2.84e-08
736.74, -2.444e-08
738.74, -2.795e-08
740.74, -2.952e-08
742.74, -2.732e-08
744.74, -2.759e-08
746.75, -2.87e-08
748.75, -3.032e-08
750.75, -2.916e-08
752.75, -3.162e-08
754.75, -2.976e-08
756.76, -2.579e-08
758.76, -2.566e-08
760.76, -2.34e-08
762.76, -2.787e-08
764.76, -2.841e-08
766.77, -2.978e-08
768.77, -3.16e-08
770.77, -2.757e-08
772.77, -2.745e-08
774.77, -2.834e-08
776.78, -2.746e-08
778.78, -2.975e-08
780.78, -2.888e-08
782.78, -3e-08
784.78, -3.08e-08
786.79, -3.202e-08
788.79, -3.111e-08
790.79, -3.315e-08
792.79, -3.132e-08
794.79, -3.062e-08
796.8, -2.92e-08
798.8, -3.061e-08
800.8, -3.358e-08
802.8, -3.23e-08
804.8, -2.654e-08
806.81, -3.235e-08
808.81, -3.083e-08
810.81, -2.774e-08
812.81, -2.996e-08
814.81, -2.763e-08
816.82, -2.876e-08
818.82, -3.326e-08
820.82, -3.287e-08
822.82, -3.193e-08
824.82, -3.185e-08
826.83, -3.125e-08
828.83, -2.911e-08
830.83, -2.996e-08
832.83, -3.252e-08
834.83, -3.073e-08
836.84, -2.931e-08
838.84, -3.155e-08
840.84, -3.196e-08
842.84, -2.927e-08
844.84, -2.938e-08
846.85, -3.373e-08
848.85, -3.295e-08
850.85, -3.106e-08
852.85, -3.297e-08
854.85, -2.834e-08
856.86, -3.165e-08
858.86, -3.315e-08
860.86, -3.009e-08
862.86, -3.164e-08
864.86, -3.01e-08
866.87, -3.164e-08
868.87, -2.623e-08
870.87, -2.925e-08
872.87, -2.866e-08
874.87, -2.965e-08
876.88, -2.76e-08
878.88, -2.85e-08
880.88, -3.177e-08
882.88, -3.012e-08
884.88, -3.004e-08
886.89, -2.52e-08
888.89, -3e-08
890.89, -2.725e-08
892.89, -2.618e-08
894.89, -2.656e-08
896.9, -2.661e-08
898.9, -2.971e-08
900.9, -3.125e-08
902.9, -2.837e-08
904.9, -2.675e-08
906.91, -2.275e-08
908.91, -2.58e-08
910.91, -2.96e-08
912.91, -2.94e-08
914.91, -2.89e-08
916.92, -2.608e-08
918.92, -2.953e-08
920.92, -2.846e-08
922.92, -3.223e-08
924.92, -2.493e-08
926.93, -2.76e-08
928.93, -2.595e-08
930.93, -2.606e-08
932.93, -2.896e-08
934.93, -2.815e-08
936.94, -2.941e-08
938.94, -2.653e-08
940.94, -2.374e-08
942.94, -2.38e-08
944.94, -2.741e-08
946.95, -2.732e-08
948.95, -2.756e-08
950.95, -3.128e-08
952.95, -3.097e-08
954.95, -3.319e-08
956.96, -2.988e-08
958.96, -3.338e-08
960.96, -3.474e-08
962.96, -3.386e-08
964.96, -3.396e-08
966.97, -3.071e-08
968.97, -3.256e-08
970.97, -2.944e-08
972.97, -3.153e-08
974.97, -2.793e-08
976.98, -2.866e-08
978.98, -3.062e-08
980.98, -2.96e-08
982.98, -3.021e-08
984.98, -2.992e-08
986.99, -3.081e-08
988.99, -3.115e-08
990.99, -3.024e-08
992.99, -3.27e-08
994.99, -2.677e-08
997.0, -2.661e-08
999.0, -2.739e-08
1001.0, -3.042e-08
1003.0, -2.773e-08
1005.0, -2.663e-08
1007.0, -2.714e-08
1009.0, -2.703e-08
1011.0, -2.891e-08
1013.0, -2.547e-08
1015.0, -2.745e-08
1017.0, -2.672e-08
1019.0, -2.695e-08
1021.0, -2.788e-08
1023.0, -2.561e-08
1025.0, -2.577e-08
1027.0, -3.058e-08
1029.0, -3.024e-08
1031.0, -2.793e-08
1033.0, -2.794e-08
1035.0, -2.789e-08
1037.0, -2.886e-08
1039.0, -2.998e-08
1041.0, -3.242e-08
1043.0, -2.795e-08
1045.0, -2.355e-08
1047.0, -2.588e-08
1049.0, -2.873e-08
1051.0, -2.728e-08
1053.1, -2.803e-08
1055.1, -2.762e-08
1057.1, -3.014e-08
1059.1, -3.029e-08
1061.1, -2.692e-08
1063.1, -2.84e-08
1065.1, -7.3e-10
1067.1, 9.38e-09
1069.1, 6.79e-09
1071.1, 8.57e-09
1073.1, 9.06e-09
1075.1, 1.752e-08
1077.1, 1.054e-08
1079.1, 8.84e-09
1081.1, 8.33e-09
1083.1, 5.58e-09
1085.1, 1.501e-08
1087.1, 1.858e-08
1089.1, 9.4e-09
1091.1, 1.027e-08
1093.1, 1.318e-08
1095.1, 1.58e-08
1097.1, 8.8e-09
1099.1, 1.434e-08
1101.1, 1.78e-08
1103.1, 9.33e-09
1105.1, 1.042e-08
1107.1, 1.304e-08
1109.1, 1.203e-08
1111.1, 6.97e-09
1113.1, 1.156e-08
1115.1, 1.233e-08
1117.1, 1.216e-08
1119.1, 1.13e-08
1121.1, 1.184e-08
1123.1, 1.15e-08
1125.1, 1.532e-08
1127.1, 1.296e-08
1129.1, 1.637e-08
1131.1, 9.47e-09
1133.1, 1.524e-08
1135.1, 1.085e-08
1137.1, 1.117e-08
1139.1, 8.13e-09
1141.1, 1.281e-08
1143.1, 1.05e-08
1145.1, 1.186e-08
1147.1, 1.355e-08
1149.1, 8.66e-09
1151.1, 1.904e-08
1153.2, 1.361e-08
1155.2, 1.728e-08
1157.2, 1.627e-08
1159.2, 1.499e-08
1161.2, 1.033e-08
1163.2, 1.318e-08
1165.2, 1.531e-08
1167.2, 1.773e-08
1169.2, 1.548e-08
1171.2, 1.762e-08
1173.2, 1.787e-08
1175.2, 1.077e-08
1177.2, 1.148e-08
1179.2, 1.443e-08
1181.2, 1.386e-08
1183.2, 1.451e-08
1185.2, 2.209e-08
1187.2, 1.544e-08
1189.2, 1.447e-08
1191.2, 1.314e-08
