Time sep (s?), Charge (C)
1.976563, 3.996266e-11
2.109375, 3.3599e-11
2.239258, 3.636076e-11
2.369141, 3.672066e-11
2.499023, 3.912226e-11
2.628906, 3.503967e-11
2.759766, 3.443966e-11
2.891602, 3.684076e-11
3.023438, -8.783054e-10
3.154297, -3.289468e-09
3.286133, -5.695742e-09
3.418945, -8.248676e-09
3.550781, -1.078909e-08
3.680664, -1.334948e-08
3.811523, -1.589406e-08
3.94043, -1.838865e-08
4.070313, -1.839842e-08
4.202148, -1.839931e-08
4.333008, -1.840023e-08
4.462891, -1.840296e-08
4.592773, -1.839875e-08
4.723633, -1.840254e-08
4.855469, -1.839692e-08
4.985352, -1.88018e-08
5.117188, -2.115046e-08
5.248047, -2.362924e-08
5.376953, -2.614016e-08
5.507813, -2.868626e-08
5.639648, -3.126721e-08
5.805664, -3.452915e-08
5.93457, -3.705572e-08
6.066406, -3.708749e-08
6.197266, -3.709005e-08
6.329102, -3.709117e-08
6.459961, -3.708814e-08
6.591797, -3.708921e-08
6.722656, -3.709224e-08
6.851563, -3.709124e-08
6.983398, -3.754675e-08
7.113281, -3.985724e-08
7.246094, -4.226354e-08
7.375977, -4.472084e-08
7.506836, -4.718943e-08
7.636719, -4.965177e-08
7.766602, -5.217004e-08
7.897461, -5.472009e-08
8.025391, -5.522203e-08
8.157227, -5.522925e-08
8.289063, -5.522325e-08
8.418945, -5.522502e-08
8.547852, -5.522092e-08
8.678711, -5.522315e-08
8.807617, -5.522421e-08
8.94043, -5.522476e-08
9.070313, -5.684828e-08
9.202148, -5.915782e-08
9.332031, -6.155727e-08
9.462891, -6.403506e-08
9.592773, -6.647667e-08
9.724609, -6.897911e-08
9.855469, -7.150257e-08
9.986328, -7.308959e-08
10.11816, -7.308831e-08
10.24902, -7.308052e-08
10.38086, -7.308348e-08
10.51367, -7.308619e-08
10.64648, -7.308057e-08
10.77637, -7.308443e-08
10.90723, -7.308525e-08
11.03809, -7.404316e-08
11.16895, -7.639174e-08
11.30078, -7.886521e-08
11.43164, -8.134566e-08
11.56348, -8.383154e-08
11.69141, -8.631838e-08
11.82129, -8.880981e-08
11.95215, -9.126537e-08
12.08008, -9.12741e-08
12.20996, -9.127177e-08
12.34277, -9.126934e-08
12.47559, -9.126636e-08
12.60742, -9.126715e-08
12.7373, -9.127081e-08
12.86914, -9.126574e-08
13.00098, -9.126732e-08
13.13281, -9.126219e-08
13.26367, -9.12651e-08
13.39453, -9.125983e-08
