Wavelength(nm), SC charge (e-), PD charge (e-)
914.0, 0.00250055994962406, 8.0917769e-07
922.0, 0.002502279819648799, 8.537868222222238e-07
930.0, 0.002473514735384615, 8.314353666666669e-07
938.0, 0.002466628244953271, 8.027410476190482e-07
946.0, 0.0024384126433431084, 7.74748866666667e-07
950.0, 0.0024060033943151967, 7.6159655e-07
954.0, 0.0024186404487901705, 7.643004333333352e-07
958.0, 0.002392373192524272, 7.522233749999995e-07
962.0, 0.002384488269261993, 7.448085714285715e-07
970.0, 0.0023284748329885055, 6.959709583333338e-07
974.0, 0.0023026815484046693, 6.657730333333337e-07
986.0, 0.002203196810465116, 6.053859166666663e-07
1006.0, 0.0021693224536186773, 5.533307301587307e-07
1010.0, 0.0021894248075478924, 5.523606103896089e-07
1026.0, 0.0022473152180265653, 5.1703865e-07
1030.0, 0.0022206839429629627, 4.917786833333335e-07
