Burst starts (s), Burst ends(A)
1625739028.8457847, 1625739030.8692703
1625739030.90665, 1625739032.929984
1625739032.9632785, 1625739034.9697418
1625739035.0214272, 1625739037.0281975
1625739037.0438275, 1625739039.050491
