Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 7.676285678922477e-09
352.0, 6.935176029856173e-09
354.0, 7.920530681232962e-09
356.0, 8.001425622834513e-09
358.0, 7.666731367881529e-09
360.0, 7.941294797737808e-09
362.0, 7.907665718180268e-09
364.0, 7.899737252485841e-09
366.0, 7.547980688141608e-09
368.0, 7.485961419465612e-09
370.0, 8.52918773328102e-09
372.0, 8.886775306833107e-09
374.0, 9.311851730047945e-09
376.0, 8.78708062292976e-09
378.0, 8.723413637055997e-09
380.0, 8.913860383776399e-09
382.0, 9.302554505651858e-09
384.0, 1.0457791714105818e-08
386.0, 9.31407118799327e-09
388.0, 9.784772907766548e-09
390.0, 1.0307245340009894e-08
392.0, 1.0451973421426897e-08
394.0, 1.0350199425986277e-08
396.0, 1.0869345887671441e-08
398.0, 1.2092044261778468e-08
400.0, 1.1074024941047644e-08
402.0, 1.1659778608610542e-08
404.0, 1.3245512695418166e-08
406.0, 1.3708132465026849e-08
408.0, 1.6023507492606357e-08
412.0, 1.5565728059991748e-08
414.0, 1.6098640673745678e-08
416.0, 1.668904999111607e-08
420.0, 1.622345747433784e-08
422.0, 1.6751418754079935e-08
424.0, 1.6925006123644777e-08
426.0, 1.677913366449628e-08
428.0, 1.6367403443340585e-08
430.0, 1.807992997427638e-08
432.0, 1.867016636120609e-08
434.0, 1.7141066941625463e-08
436.0, 1.7506272960938337e-08
438.0, 1.513151739967096e-08
440.0, 1.772659950138418e-08
442.0, 1.7492918571545044e-08
444.0, 1.780249209285886e-08
446.0, 1.6060420953832653e-08
448.0, 1.677207431250334e-08
450.0, 1.785052937790714e-08
454.0, 1.785673857217334e-08
456.0, 1.662780504456877e-08
458.0, 1.706080997418511e-08
460.0, 1.676236879125392e-08
462.0, 1.809476017905829e-08
464.0, 1.6201733300017117e-08
466.0, 1.631506353063557e-08
468.0, 1.6430492249582563e-08
470.0, 1.575622594697202e-08
472.0, 1.5320349408631858e-08
474.0, 1.7655149011403048e-08
476.0, 1.7236714190589235e-08
478.0, 1.7659349459209583e-08
480.0, 1.6985824497013487e-08
482.0, 1.7993731270131306e-08
484.0, 1.6968146299385516e-08
486.0, 1.7787575230648984e-08
488.0, 1.585633497207367e-08
490.0, 1.7346704539633442e-08
494.0, 1.706379169246417e-08
496.0, 1.6375813777111344e-08
498.0, 1.668265832646074e-08
500.0, 1.723834697574987e-08
502.0, 1.7391062114512525e-08
504.0, 1.5511711153776943e-08
506.0, 1.6194996461834695e-08
508.0, 1.598324677490182e-08
510.0, 1.6927942219245934e-08
512.0, 1.6660719764207438e-08
514.0, 1.6138227406448262e-08
516.0, 1.7465927362261836e-08
518.0, 1.7907809886043115e-08
520.0, 1.5549757146766043e-08
522.0, 1.7024797587465196e-08
524.0, 1.7258670837343016e-08
526.0, 1.554754792665152e-08
528.0, 1.7688815459183146e-08
530.0, 1.5841844687938816e-08
532.0, 1.6762025361022336e-08
536.0, 1.639011021083396e-08
538.0, 1.7829319766091236e-08
540.0, 1.711776348385695e-08
542.0, 1.6795240646413322e-08
544.0, 1.7027479008935557e-08
546.0, 1.8587718827707014e-08
548.0, 1.7356934029672504e-08
550.0, 1.7674801256475244e-08
552.0, 1.6843303718787756e-08
554.0, 1.7712837477662888e-08
556.0, 1.562609592698367e-08
558.0, 1.772009467361429e-08
560.0, 1.574125555107323e-08
562.0, 1.5533884190774013e-08
564.0, 1.583473072732787e-08
566.0, 1.7451260079477547e-08
568.0, 1.512281343050323e-08
570.0, 1.7097755373742224e-08
572.0, 1.6376449262580804e-08
574.0, 1.7027073892259763e-08
578.0, 1.6929033677236213e-08
580.0, 1.701929303423938e-08
582.0, 1.6441005149990592e-08
584.0, 1.640825219017166e-08
586.0, 1.6685594686002373e-08
588.0, 1.5899888330819114e-08
590.0, 1.7701223150326642e-08
592.0, 1.661021862705362e-08
594.0, 1.6550432013874408e-08
596.0, 1.6607223809637233e-08
598.0, 1.6849803106995672e-08
600.0, 1.6302779065301985e-08
602.0, 1.7372821653362476e-08
604.0, 1.7322927321261093e-08
606.0, 1.563181382664967e-08
608.0, 1.638762810988855e-08
610.0, 1.604286898505949e-08
612.0, 1.524537401966374e-08
614.0, 1.6508580754111525e-08
616.0, 1.5343573451841624e-08
620.0, 1.7140859911829107e-08
622.0, 1.5374595057254782e-08
624.0, 1.516421196446409e-08
626.0, 1.5033077700132746e-08
628.0, 1.4895399113624449e-08
630.0, 1.4654317238267973e-08
632.0, 1.4782340069802649e-08
634.0, 1.4702176006089086e-08
636.0, 1.494007980126399e-08
638.0, 1.451661263453808e-08
640.0, 1.4287256268452895e-08
642.0, 1.4357379763509504e-08
644.0, 1.5945558585658525e-08
646.0, 1.5549538723315433e-08
648.0, 1.4279290933494672e-08
650.0, 1.451973891973178e-08
652.0, 1.572107295081635e-08
654.0, 1.4591853146360246e-08
656.0, 1.4653656518614751e-08
658.0, 1.449728872597095e-08
660.0, 1.5222670508653725e-08
662.0, 1.4151139411471985e-08
664.0, 1.434488453991193e-08
666.0, 1.3829830372781861e-08
668.0, 1.4920089936084395e-08
670.0, 1.486010876299518e-08
672.0, 1.5610392955443293e-08
674.0, 1.530089720780692e-08
676.0, 1.5134908187861502e-08
678.0, 1.5860319417536302e-08
680.0, 1.5277468543002778e-08
682.0, 1.5586472834406604e-08
684.0, 1.5683069951762994e-08
686.0, 1.518598604979343e-08
688.0, 1.5118058201602277e-08
690.0, 1.5985764903687926e-08
692.0, 1.5829140950038113e-08
694.0, 1.5913460855261375e-08
696.0, 1.5270669964445943e-08
