Time sep (s?), Charge (C)
1.991211, 3.912345e-11
2.120117, 4.092454e-11
2.249023, 4.164486e-11
2.382813, 4.27256e-11
2.512695, 4.560696e-11
2.644531, 3.768291e-11
2.774414, 4.284554e-11
2.90625, 3.996411e-11
3.039063, -4.630996e-10
3.169922, -2.394663e-09
3.301758, -4.468518e-09
3.433594, -6.541771e-09
3.56543, -8.675021e-09
3.694336, -1.077851e-08
3.825195, -1.291545e-08
3.956055, -1.501639e-08
4.087891, -1.531271e-08
4.216797, -1.530933e-08
4.348633, -1.530784e-08
4.480469, -1.530418e-08
4.611328, -1.53045e-08
4.740234, -1.530714e-08
4.87207, -1.530709e-08
5.004883, -1.576369e-08
5.135742, -1.763539e-08
5.266602, -1.964142e-08
5.396484, -2.167762e-08
5.526367, -2.3729e-08
5.655273, -2.579754e-08
5.787109, -2.792477e-08
5.917969, -2.996323e-08
6.047852, -3.032218e-08
6.175781, -3.032563e-08
6.306641, -3.032379e-08
6.438477, -3.032478e-08
6.569336, -3.032708e-08
6.700195, -3.032218e-08
6.833008, -3.032236e-08
6.963867, -3.04236e-08
7.092773, -3.223831e-08
7.224609, -3.424315e-08
7.353516, -3.62651e-08
7.483398, -3.833427e-08
7.613281, -4.034862e-08
7.744141, -4.244005e-08
7.875977, -4.452588e-08
8.004883, -4.530038e-08
8.132813, -4.529702e-08
8.262695, -4.528817e-08
8.390625, -4.529939e-08
8.522461, -4.528868e-08
8.650391, -4.529299e-08
8.77832, -4.529265e-08
8.910156, -4.529504e-08
9.039063, -4.673328e-08
9.169922, -4.868545e-08
9.301758, -5.073372e-08
9.431641, -5.285571e-08
9.560547, -5.492217e-08
9.69043, -5.700381e-08
9.820313, -5.915492e-08
9.949219, -6.055197e-08
10.0791, -6.054959e-08
10.20898, -6.054808e-08
10.33984, -6.055023e-08
10.47168, -6.05497e-08
10.60059, -6.054596e-08
10.73242, -6.054679e-08
10.86328, -6.055087e-08
10.99219, -6.183608e-08
11.12305, -6.374956e-08
11.25488, -6.581742e-08
11.38574, -6.796224e-08
11.5166, -7.005396e-08
11.64844, -7.221278e-08
11.7793, -7.43266e-08
11.91016, -7.578369e-08
12.04199, -7.579072e-08
12.1709, -7.57851e-08
12.33691, -7.578484e-08
12.46484, -7.577835e-08
12.59473, -7.578523e-08
12.72656, -7.578251e-08
12.85742, -7.578357e-08
12.9873, -7.578156e-08
13.11914, -7.577938e-08
13.25, -7.578279e-08
13.38086, -7.577527e-08
13.5127, -7.577742e-08
