Wavelength(nm), SC photons / PD photons
350.0, 2.7149071916892105
352.0, 2.9216373215093254
354.0, 3.1755770640976317
356.0, 3.0414934078273554
358.0, 2.917773883325235
360.0, 3.160600060781506
362.0, 3.0539917911396475
364.0, 3.1179763921173858
366.0, 3.1356807517325676
368.0, 3.1768437621680596
370.0, 3.0781630409643164
372.0, 2.999111567591417
374.0, 2.9359596944515527
376.0, 2.9117733573880034
378.0, 2.859255213200592
380.0, 2.857908965111193
382.0, 2.901659632846684
384.0, 2.817455118922215
386.0, 2.963286580480082
388.0, 3.0939486610609164
390.0, 3.16966771010704
392.0, 3.0861812929874235
394.0, 3.2207910778296345
396.0, 3.2113269021169173
398.0, 3.105963468187756
400.0, 3.2615079543189043
402.0, 3.5412646182614735
404.0, 3.329949760144775
406.0, 3.228294291964291
408.0, 3.024434017551935
412.0, 3.3287667554767992
414.0, 3.4916486105137636
416.0, 3.47346847619452
420.0, 3.3912042791608497
422.0, 3.221151180983301
424.0, 3.1765697364652636
426.0, 3.2849718748225016
428.0, 3.1998025142005697
430.0, 3.0621191774742953
432.0, 3.029263702934232
434.0, 3.140282650078131
436.0, 3.1246729230552313
438.0, 3.54272756424682
440.0, 3.0745116934474037
442.0, 3.129171321941635
444.0, 3.014060959137592
446.0, 3.182214591899723
448.0, 3.1667400864303556
450.0, 3.0044503194525594
454.0, 3.0669460939333124
456.0, 3.1917764519163336
458.0, 3.1478511253870565
460.0, 3.147863247600075
462.0, 3.02652201249289
464.0, 3.2551471952837034
466.0, 3.26190840408686
468.0, 3.3851100012042536
470.0, 3.5171148436855515
472.0, 3.603491520695236
474.0, 3.449057016443812
476.0, 3.3296464023014125
478.0, 3.2574527112984835
480.0, 3.4338309938551794
482.0, 3.2661715227466463
484.0, 3.493890333541028
486.0, 3.3106978574642434
488.0, 3.6230207389603115
490.0, 3.418349793945033
494.0, 3.3963929802101016
496.0, 3.534209252763228
498.0, 3.5031489271318645
500.0, 3.3652603448734895
502.0, 3.32658212018298
504.0, 3.6919398457902526
506.0, 3.4693555638181284
508.0, 4.258711196399703
510.0, 3.4413058314744296
512.0, 3.359643952324627
514.0, 3.412140276135217
516.0, 3.272823439143357
518.0, 3.214153686549912
520.0, 3.4961024838985404
522.0, 3.3953995707697127
524.0, 3.3095364855762806
526.0, 3.4659755066147353
528.0, 3.0701406744424897
530.0, 3.5009047549736434
532.0, 3.284161655601927
536.0, 3.2622715657828327
538.0, 3.164724975481433
540.0, 3.3087190459000095
542.0, 3.565485216660885
544.0, 3.33991459156729
546.0, 2.98005906310015
548.0, 3.309595600785608
550.0, 3.192131423052449
552.0, 3.24211846632984
554.0, 3.2338630003698006
556.0, 3.362033853553771
558.0, 3.198994090518166
560.0, 3.351868580070141
562.0, 3.41658449603912
564.0, 3.3795510573746728
566.0, 3.0530549469001365
568.0, 3.6238185749624923
570.0, 3.173530509959232
572.0, 3.4493560236948517
574.0, 3.2157956823066196
578.0, 3.160256161304402
580.0, 3.2875798551284046
582.0, 3.2574021087865472
584.0, 3.4383834733815815
586.0, 3.243711389581022
588.0, 3.4670659834349067
590.0, 3.055867879557307
592.0, 3.2497053583073656
594.0, 3.2446097872079136
596.0, 3.273102667102521
598.0, 3.2090903447750128
600.0, 3.29062100262982
602.0, 3.155180777588381
604.0, 3.1771192592802264
606.0, 3.381055599944745
608.0, 3.1629233645650654
610.0, 3.250976195534036
612.0, 3.3122071280719463
614.0, 3.1438262747664663
616.0, 3.3511997560498505
620.0, 3.1089226522442455
622.0, 3.2656216289694235
624.0, 3.2861638828086575
626.0, 3.2302138344704514
628.0, 3.1850181017307264
630.0, 3.308574749988939
632.0, 3.2462641908288425
634.0, 3.346805004452654
636.0, 3.225960455250663
638.0, 3.2662949270573405
640.0, 3.2969941671602823
642.0, 3.146588994988628
644.0, 2.955940086855775
646.0, 3.0771432610707734
648.0, 3.239074695736491
650.0, 3.1965712744919386
652.0, 3.0545544101975843
654.0, 3.0553130931464048
656.0, 3.2366432381253887
658.0, 3.0805135577901344
660.0, 3.014695809434364
662.0, 3.1997315147232324
664.0, 3.0878063341304136
666.0, 3.1245072061213275
668.0, 2.977156255048053
670.0, 2.8708082501952528
672.0, 2.8602425856117146
674.0, 2.9592677154276865
676.0, 2.887691887606811
678.0, 2.8615398604669404
680.0, 3.0135745035929373
682.0, 2.889795295416532
684.0, 3.041701542724095
686.0, 2.8722491588395624
688.0, 2.8192751570926604
690.0, 2.9258491670572977
692.0, 2.9113078921770112
694.0, 2.7975522990677675
696.0, 2.8291303134342836
698.0, 3.099409173541916
700.0, 2.8088937814212454
704.0, 2.828559959806673
706.0, 2.818946628190586
708.0, 2.7936971212867734
710.0, 2.769672612941292
712.0, 2.8033363471168236
714.0, 2.68544545714174
716.0, 2.757719601027799
718.0, 2.769192420308241
720.0, 2.742110722158827
722.0, 3.019387226091038
724.0, 2.747471584576485
726.0, 2.769438158345295
728.0, 2.6943307273128823
730.0, 2.7186791283571585
732.0, 2.830575143839131
734.0, 2.819466175587508
736.0, 2.7583703283995766
738.0, 2.7006881948537917
740.0, 2.7018733129633508
742.0, 2.682678151520526
744.0, 2.7452365397100587
746.0, 2.826748453546504
748.0, 2.943822837505141
750.0, 2.8380535245731733
752.0, 2.6881970295836832
754.0, 2.652233401116251
756.0, 2.7125022486499333
758.0, 2.8643568326363624
760.0, 2.7058803135634726
762.0, 2.691810473628587
764.0, 2.698232349150568
766.0, 2.7080154441606883
768.0, 2.6706032022016033
770.0, 2.7435375952464853
772.0, 2.7674110085455395
774.0, 2.723805449066062
776.0, 2.890270513233225
778.0, 2.7551057342100336
780.0, 2.701207757320544
782.0, 2.696379847877779
784.0, 2.6877111387635444
786.0, 2.68505433828854
788.0, 2.7616737416614203
790.0, 2.6510707624854772
792.0, 2.725634224119887
794.0, 2.6775483496407113
796.0, 2.6489208271170583
798.0, 2.5970888621812867
800.0, 2.639410974713263
802.0, 2.5686186513893507
804.0, 2.6775322808295567
806.0, 2.728364717227069
808.0, 2.6871689857241727
810.0, 2.63679223288283
812.0, 2.6775873669101076
814.0, 2.6604296893094115
816.0, 2.731809182460613
818.0, 2.681371408754616
820.0, 2.682853143724372
822.0, 2.689004849857575
