Time sep (s?), Charge (C)
1.977539, 4.032429e-11
2.108398, 4.068432e-11
2.238281, 3.624219e-11
2.365234, 3.948384e-11
2.49707, 3.636222e-11
2.626953, 4.296578e-11
2.756836, 3.612186e-11
2.886719, 4.068456e-11
3.017578, -1.521634e-08
3.147461, -1.521568e-08
3.276367, -1.521016e-08
3.40625, -1.52161e-08
3.537109, -1.521301e-08
3.667969, -1.520938e-08
3.928711, -1.52151e-08
4.068359, -1.520438e-08
4.216797, -1.521153e-08
4.482422, -1.521212e-08
4.692383, -1.521209e-08
4.823242, -1.520646e-08
4.955078, -1.520893e-08
5.085938, -3.059984e-08
5.216797, -3.060267e-08
5.345703, -3.060428e-08
5.475586, -3.060478e-08
5.607422, -3.060068e-08
5.736328, -3.059616e-08
5.866211, -3.059746e-08
5.998047, -3.059712e-08
6.125, -3.060089e-08
6.25293, -3.05943e-08
6.381836, -3.05972e-08
6.512695, -3.06011e-08
6.643555, -3.059774e-08
6.772461, -3.059283e-08
6.90332, -3.059946e-08
7.03418, -4.57514e-08
7.165039, -4.575259e-08
7.294922, -4.5755e-08
7.425781, -4.575335e-08
7.556641, -4.575059e-08
7.68457, -4.574504e-08
7.813477, -4.575211e-08
7.943359, -4.575089e-08
8.072266, -4.574667e-08
8.200195, -4.575291e-08
8.331055, -4.574682e-08
8.459961, -4.57481e-08
8.589844, -4.575169e-08
8.717773, -4.574503e-08
8.848633, -4.574887e-08
8.979492, -5.92339e-08
9.110352, -6.054974e-08
9.242188, -6.054182e-08
9.37207, -6.054463e-08
9.501953, -6.053915e-08
9.630859, -6.054714e-08
9.760742, -6.054215e-08
9.892578, -6.054394e-08
10.02148, -6.054194e-08
10.15234, -6.054523e-08
10.2832, -6.053705e-08
10.41309, -6.054698e-08
10.54492, -6.053659e-08
10.67285, -6.054336e-08
10.80371, -6.054117e-08
10.93555, -6.068022e-08
11.06641, -7.566554e-08
11.19824, -7.567134e-08
11.32813, -7.566489e-08
11.45996, -7.56672e-08
11.58887, -7.566393e-08
11.77637, -7.567068e-08
11.90723, -7.566695e-08
12.03613, -7.566764e-08
12.16797, -7.566792e-08
12.30078, -7.566671e-08
12.43457, -7.56648e-08
12.56348, -7.566354e-08
12.69629, -7.567069e-08
12.82617, -7.566265e-08
12.95508, -7.566513e-08
13.08398, -7.566342e-08
13.21387, -7.565792e-08
13.34277, -7.566697e-08
