Time sep (s?), Charge (C)
1.992188, 4.06829e-11
2.124023, 3.552007e-11
2.253906, 4.380481e-11
2.385742, 3.383906e-11
2.517578, 4.164338e-11
2.649414, 3.864187e-11
2.78125, 3.684066e-11
2.913086, 3.732124e-11
3.042969, -4.340619e-10
3.176758, -3.175542e-09
3.308594, -6.08943e-09
3.439453, -9.049698e-09
3.571289, -1.2086e-08
3.702148, -1.51036e-08
3.833008, -1.819741e-08
3.964844, -2.128799e-08
4.095703, -2.186133e-08
4.228516, -2.186156e-08
4.359375, -2.185829e-08
4.488281, -2.186396e-08
4.621094, -2.185279e-08
4.75, -2.185963e-08
4.881836, -2.185878e-08
5.009766, -2.185852e-08
5.142578, -2.445636e-08
5.273438, -2.73246e-08
5.40625, -3.034421e-08
5.540039, -3.340009e-08
5.669922, -3.647092e-08
5.807617, -3.966146e-08
5.938477, -4.275732e-08
6.068359, -4.384056e-08
6.200195, -4.384061e-08
6.333008, -4.384614e-08
6.460938, -4.384304e-08
6.59375, -4.384092e-08
6.726563, -4.38396e-08
6.857422, -4.383852e-08
6.989258, -4.39044e-08
7.121094, -4.653992e-08
7.251953, -4.942626e-08
7.384766, -5.236955e-08
7.516602, -5.53608e-08
7.645508, -5.83784e-08
7.776367, -6.140652e-08
7.904297, -6.435693e-08
8.038086, -6.546868e-08
8.170898, -6.54724e-08
8.301758, -6.546744e-08
8.460938, -6.546988e-08
8.59668, -6.547131e-08
8.729492, -6.546075e-08
8.861328, -6.546806e-08
8.992188, -6.548721e-08
9.145508, -6.841955e-08
9.293945, -7.160513e-08
9.448242, -7.497416e-08
9.597656, -7.824876e-08
9.742188, -8.149355e-08
9.873047, -8.44701e-08
10.00488, -8.649842e-08
10.13574, -8.649757e-08
10.26367, -8.649122e-08
10.39746, -8.649316e-08
10.53906, -8.648981e-08
10.66992, -8.648993e-08
10.80371, -8.649194e-08
10.93457, -8.648767e-08
11.06543, -8.767727e-08
11.19922, -9.044154e-08
11.32813, -9.322427e-08
11.45898, -9.6139e-08
11.60059, -9.925962e-08
11.73535, -1.023668e-07
11.86621, -1.05335e-07
11.99805, -1.07679e-07
12.12695, -1.076788e-07
12.25781, -1.076717e-07
12.3916, -1.076741e-07
12.52148, -1.076787e-07
12.65332, -1.076665e-07
12.78516, -1.076757e-07
12.91602, -1.076727e-07
13.04688, -1.076727e-07
13.17969, -1.076731e-07
13.3125, -1.076671e-07
