Time sep (s?), Charge (C)
1.985352, 3.69608e-11
2.115234, 1.60696e-11
2.246094, -8.304246e-12
2.379883, -2.235181e-11
2.510742, -4.948675e-11
2.639648, -6.425507e-11
2.772461, -8.166404e-11
2.902344, -9.018893e-11
3.03418, -5.562494e-08
3.168945, -1.477243e-07
3.300781, -2.397767e-07
3.432617, -3.331393e-07
3.56543, -4.277847e-07
3.695313, -5.212693e-07
3.830078, -6.168326e-07
3.962891, -6.798186e-07
4.09375, -6.797953e-07
4.225586, -6.797893e-07
4.356445, -6.797919e-07
4.488281, -6.7978e-07
4.619141, -6.797847e-07
4.751953, -6.797773e-07
4.884766, -6.797773e-07
5.016602, -7.413782e-07
5.148438, -8.302625e-07
5.27832, -9.198669e-07
5.412109, -1.013213e-06
5.540039, -1.102744e-06
5.668945, -1.192114e-06
5.808594, -1.289994e-06
5.939453, -1.349602e-06
6.068359, -1.349579e-06
6.202148, -1.349559e-06
6.333008, -1.349555e-06
6.464844, -1.34953e-06
6.601563, -1.349518e-06
6.732422, -1.349524e-06
6.868164, -1.349516e-06
7.000977, -1.415056e-06
7.131836, -1.502805e-06
7.261719, -1.592001e-06
7.392578, -1.683282e-06
7.521484, -1.771118e-06
7.650391, -1.861305e-06
7.783203, -1.952658e-06
7.914063, -2.011419e-06
8.043945, -2.011384e-06
8.174805, -2.011362e-06
8.306641, -2.011346e-06
8.44043, -2.011326e-06
8.570313, -2.011327e-06
8.706055, -2.011314e-06
8.835938, -2.011301e-06
8.964844, -2.035006e-06
9.161133, -2.163427e-06
9.292969, -2.255971e-06
9.423828, -2.345629e-06
9.553711, -2.436447e-06
9.683594, -2.526868e-06
9.816406, -2.618722e-06
9.947266, -2.67471e-06
10.07617, -2.674624e-06
10.20703, -2.674611e-06
10.33789, -2.67459e-06
10.46777, -2.674605e-06
10.59863, -2.67455e-06
10.73535, -2.674601e-06
10.86719, -2.674528e-06
10.99609, -2.724059e-06
11.12793, -2.813572e-06
11.25879, -2.905346e-06
11.38867, -2.996707e-06
11.52051, -3.090533e-06
11.65625, -3.185427e-06
11.78711, -3.279662e-06
11.91699, -3.349927e-06
12.04785, -3.349933e-06
12.17773, -3.349812e-06
12.30762, -3.349874e-06
12.4375, -3.349801e-06
12.56836, -3.349822e-06
12.69922, -3.349771e-06
12.83008, -3.349774e-06
12.96094, -3.349686e-06
13.09375, -3.349711e-06
13.22461, -3.349755e-06
