Time sep (s?), Charge (C)
2.004883, 4.320461e-11
2.134766, 3.900195e-11
2.264648, 4.068304e-11
2.394531, 4.344447e-11
2.527344, 4.080325e-11
2.65918, 3.660071e-11
2.789063, 3.828168e-11
2.916992, 4.308437e-11
3.047852, -6.172798e-10
3.182617, -2.702593e-09
3.313477, -4.814797e-09
3.445313, -7.028313e-09
3.579102, -9.237429e-09
3.710938, -1.141591e-08
3.842773, -1.360762e-08
3.974609, -1.580175e-08
4.108398, -1.581623e-08
4.241211, -1.582127e-08
4.374023, -1.582065e-08
4.505859, -1.581392e-08
4.636719, -1.582057e-08
4.769531, -1.581916e-08
4.900391, -1.581911e-08
5.029297, -1.643115e-08
5.166016, -1.846422e-08
5.297852, -2.055904e-08
5.427734, -2.266622e-08
5.558594, -2.480101e-08
5.6875, -2.68619e-08
5.818359, -2.908053e-08
5.948242, -3.120972e-08
6.080078, -3.132067e-08
6.209961, -3.131735e-08
6.341797, -3.132339e-08
6.472656, -3.131754e-08
6.604492, -3.131949e-08
6.733398, -3.131581e-08
6.865234, -3.132421e-08
6.996094, -3.154603e-08
7.12793, -3.349018e-08
7.257813, -3.555602e-08
7.386719, -3.765909e-08
7.518555, -3.978625e-08
7.647461, -4.189547e-08
7.77832, -4.407395e-08
7.910156, -4.623143e-08
8.038086, -4.688608e-08
8.170898, -4.689006e-08
8.303711, -4.688867e-08
8.433594, -4.688738e-08
8.563477, -4.688812e-08
8.695313, -4.688438e-08
8.825195, -4.688961e-08
8.957031, -4.688224e-08
9.085938, -4.87628e-08
9.21582, -5.082072e-08
9.347656, -5.294497e-08
9.484375, -5.520767e-08
9.612305, -5.744329e-08
9.744141, -5.970814e-08
9.87793, -6.197349e-08
10.00586, -6.282271e-08
10.1377, -6.282592e-08
10.26758, -6.282454e-08
10.39453, -6.281857e-08
10.53027, -6.281778e-08
10.6582, -6.282733e-08
11.27344, -6.778262e-08
11.4043, -6.999907e-08
11.53516, -7.22459e-08
11.66602, -7.446889e-08
11.79492, -7.66905e-08
11.92773, -7.893869e-08
12.05566, -7.897471e-08
12.18652, -7.896841e-08
12.31836, -7.897189e-08
12.4502, -7.897723e-08
12.5791, -7.897346e-08
12.71191, -7.897241e-08
12.84277, -7.896887e-08
12.97363, -7.896895e-08
13.10449, -7.897662e-08
13.23535, -7.896686e-08
