Time sep (ms?), Charge (C)
512.51, -1.8167e-08
514.51, -1.8234e-08
516.52, -1.8298e-08
518.52, -1.8362e-08
520.52, -1.8427e-08
522.52, -1.849e-08
524.52, -1.8555e-08
526.53, -1.8616e-08
528.53, -1.868e-08
530.53, -1.8743e-08
532.53, -1.8812e-08
534.53, -1.8877e-08
536.54, -1.8946e-08
538.54, -1.9012e-08
540.54, -1.9077e-08
542.54, -1.9151e-08
544.54, -1.9221e-08
546.55, -1.9292e-08
548.55, -1.9362e-08
550.55, -1.9422e-08
552.55, -1.9483e-08
554.55, -1.9546e-08
556.56, -1.9606e-08
558.56, -1.9668e-08
560.56, -1.9735e-08
562.56, -1.9802e-08
564.56, -1.9865e-08
566.57, -1.9926e-08
568.57, -1.9986e-08
570.57, -2.005e-08
572.57, -2.0109e-08
574.57, -2.0172e-08
576.58, -2.0235e-08
578.58, -2.03e-08
580.58, -2.0368e-08
582.58, -2.0434e-08
584.58, -2.0499e-08
586.59, -2.0563e-08
588.59, -2.0629e-08
590.59, -2.0696e-08
592.59, -2.0759e-08
594.59, -2.0823e-08
596.6, -2.089e-08
598.6, -2.0953e-08
600.6, -2.1022e-08
602.6, -2.1088e-08
604.6, -2.1148e-08
606.61, -2.1215e-08
608.61, -2.1278e-08
610.61, -2.1341e-08
612.61, -2.1409e-08
614.61, -2.1467e-08
616.62, -2.1529e-08
618.62, -2.1592e-08
620.62, -2.1662e-08
622.62, -2.173e-08
624.62, -2.1797e-08
626.63, -2.1864e-08
628.63, -2.1931e-08
630.63, -2.1998e-08
632.63, -2.2059e-08
634.63, -2.2121e-08
636.64, -2.2184e-08
638.64, -2.2251e-08
640.64, -2.2317e-08
642.64, -2.2382e-08
644.64, -2.2446e-08
646.65, -2.2513e-08
648.65, -2.2583e-08
650.65, -2.2653e-08
652.65, -2.2722e-08
654.65, -2.2786e-08
656.66, -2.2848e-08
658.66, -2.2913e-08
660.66, -2.297e-08
662.66, -2.3029e-08
664.66, -2.3093e-08
666.67, -2.3153e-08
668.67, -2.322e-08
670.67, -2.3285e-08
672.67, -2.3353e-08
674.67, -2.3411e-08
676.68, -2.3475e-08
678.68, -2.3539e-08
680.68, -2.3599e-08
682.68, -2.366e-08
684.68, -2.373e-08
686.69, -2.3798e-08
688.69, -2.3866e-08
690.69, -2.3931e-08
692.69, -2.3997e-08
694.69, -2.4061e-08
696.7, -2.4126e-08
698.7, -2.4194e-08
700.7, -2.426e-08
702.7, -2.4328e-08
704.7, -2.44e-08
706.71, -2.4474e-08
708.71, -2.454e-08
710.71, -2.46e-08
712.71, -2.4658e-08
714.71, -2.4719e-08
716.72, -2.478e-08
718.72, -2.4845e-08
720.72, -2.491e-08
722.72, -2.4977e-08
724.72, -2.5043e-08
726.73, -2.5108e-08
728.73, -2.5176e-08
730.73, -2.5247e-08
732.73, -2.5313e-08
734.73, -2.5373e-08
736.74, -2.5433e-08
738.74, -2.5496e-08
740.74, -2.5565e-08
742.74, -2.5631e-08
744.74, -2.5698e-08
746.75, -2.5763e-08
748.75, -2.5831e-08
750.75, -2.5897e-08
752.75, -2.596e-08
754.75, -2.6024e-08
756.76, -2.6091e-08
758.76, -2.6152e-08
760.76, -2.621e-08
762.76, -2.6275e-08
764.76, -2.6341e-08
766.77, -2.6403e-08
768.77, -2.647e-08
770.77, -2.6534e-08
772.77, -2.6594e-08
774.77, -2.666e-08
776.78, -2.6727e-08
778.78, -2.6788e-08
780.78, -2.6851e-08
782.78, -2.6918e-08
784.78, -2.6985e-08
786.79, -2.7047e-08
788.79, -2.7108e-08
790.79, -2.7171e-08
792.79, -2.724e-08
794.79, -2.7307e-08
796.8, -2.7369e-08
798.8, -2.743e-08
800.8, -2.7491e-08
802.8, -2.7558e-08
804.8, -2.762e-08
806.81, -2.7686e-08
808.81, -2.7749e-08
810.81, -2.7816e-08
812.81, -2.7881e-08
814.81, -2.7947e-08
816.82, -2.8009e-08
818.82, -2.8076e-08
820.82, -2.8141e-08
822.82, -2.8203e-08
824.82, -2.826e-08
826.83, -2.8316e-08
828.83, -2.8376e-08
830.83, -2.8434e-08
832.83, -2.8494e-08
834.83, -2.8556e-08
836.84, -2.8619e-08
838.84, -2.8687e-08
840.84, -2.8754e-08
842.84, -2.8817e-08
844.84, -2.8879e-08
846.85, -2.8941e-08
848.85, -2.9005e-08
850.85, -2.9062e-08
852.85, -2.9123e-08
854.85, -2.9185e-08
856.86, -2.9245e-08
858.86, -2.9303e-08
860.86, -2.9366e-08
862.86, -2.9423e-08
864.86, -2.9486e-08
866.87, -2.9543e-08
868.87, -2.9601e-08
870.87, -2.9657e-08
872.87, -2.971e-08
874.87, -2.9767e-08
876.88, -2.9822e-08
878.88, -2.9886e-08
880.88, -2.995e-08
882.88, -3.0014e-08
884.88, -3.008e-08
886.89, -3.0146e-08
888.89, -3.021e-08
890.89, -3.0273e-08
892.89, -3.0334e-08
894.89, -3.0394e-08
896.9, -3.0454e-08
898.9, -3.0515e-08
900.9, -3.0576e-08
902.9, -3.0637e-08
904.9, -3.07e-08
906.91, -3.0762e-08
908.91, -3.0821e-08
910.91, -3.0881e-08
912.91, -3.0944e-08
914.91, -3.1006e-08
916.92, -3.1059e-08
918.92, -3.1117e-08
920.92, -3.1176e-08
922.92, -3.1239e-08
924.92, -3.1302e-08
926.93, -3.1365e-08
928.93, -3.143e-08
930.93, -3.1498e-08
932.93, -3.1568e-08
934.93, -3.1634e-08
936.94, -3.1696e-08
938.94, -3.1755e-08
940.94, -3.1818e-08
942.94, -3.1874e-08
944.94, -3.1932e-08
946.95, -3.1993e-08
948.95, -3.2048e-08
950.95, -3.2105e-08
952.95, -3.2164e-08
954.95, -3.2227e-08
956.96, -3.2293e-08
958.96, -3.2355e-08
960.96, -3.2413e-08
962.96, -3.2472e-08
964.96, -3.2532e-08
966.97, -3.2595e-08
968.97, -3.2661e-08
970.97, -3.2723e-08
972.97, -3.2783e-08
974.97, -3.2845e-08
976.98, -3.2909e-08
978.98, -3.2973e-08
980.98, -3.3036e-08
982.98, -3.3104e-08
984.98, -3.3171e-08
986.99, -3.3239e-08
988.99, -3.3306e-08
990.99, -3.337e-08
992.99, -3.3437e-08
994.99, -3.3505e-08
997.0, -3.3569e-08
999.0, -3.3632e-08
1001.0, -3.3699e-08
1003.0, -3.377e-08
1005.0, -3.3844e-08
1007.0, -3.3913e-08
1009.0, -3.3981e-08
1011.0, -3.4053e-08
1013.0, -3.4121e-08
1015.0, -3.4044e-08
1017.0, -3.3476e-08
1019.0, -3.2923e-08
1021.0, -3.2435e-08
1023.0, -3.1925e-08
1025.0, -3.1406e-08
1027.0, -3.0897e-08
1029.0, -3.032e-08
1031.0, -2.975e-08
1033.0, -2.9187e-08
1035.0, -2.8579e-08
1037.0, -2.7903e-08
1039.0, -2.7301e-08
1041.0, -2.6712e-08
1043.0, -2.6158e-08
1045.0, -2.5606e-08
1047.0, -2.5125e-08
1049.0, -2.4606e-08
1051.0, -2.4066e-08
1053.1, -2.3535e-08
1055.1, -2.2966e-08
1057.1, -2.2427e-08
1059.1, -2.1844e-08
1061.1, -2.1284e-08
1063.1, -2.065e-08
1065.1, -2.007e-08
1067.1, -1.9508e-08
1069.1, -1.8946e-08
1071.1, -1.843e-08
1073.1, -1.7904e-08
1075.1, -1.7285e-08
1077.1, -1.6674e-08
1079.1, -1.6087e-08
1081.1, -1.5523e-08
1083.1, -1.495e-08
1085.1, -1.4365e-08
1087.1, -1.3764e-08
1089.1, -1.3109e-08
1091.1, -1.2477e-08
1093.1, -1.1862e-08
1095.1, -1.1261e-08
1097.1, -1.0662e-08
1099.1, -1.001e-08
1101.1, -9.477e-09
1103.1, -8.903e-09
1105.1, -8.329e-09
1107.1, -7.722e-09
1109.1, -7.095e-09
1111.1, -6.464e-09
1113.1, -5.896e-09
1115.1, -5.344e-09
1117.1, -4.735e-09
1119.1, -4.138e-09
1121.1, -3.562e-09
1123.1, -2.9e-09
1125.1, -2.27e-09
1127.1, -1.567e-09
1129.1, -1.031e-09
1131.1, -5.21e-10
1133.1, 6.2e-11
1135.1, 6.92e-10
1137.1, 1.309e-09
1139.1, 1.857e-09
1141.1, 2.381e-09
1143.1, 2.934e-09
1145.1, 3.462e-09
1147.1, 4.023e-09
1149.1, 4.647e-09
1151.1, 5.293e-09
1153.2, 5.955e-09
1155.2, 6.518e-09
1157.2, 7.123e-09
1159.2, 7.717e-09
1161.2, 8.31e-09
1163.2, 8.877e-09
1165.2, 9.506e-09
1167.2, 1.0073e-08
1169.2, 1.0639e-08
1171.2, 1.1241e-08
1173.2, 1.1858e-08
1175.2, 1.2443e-08
1177.2, 1.305e-08
1179.2, 1.373e-08
1181.2, 1.4322e-08
1183.2, 1.4921e-08
1185.2, 1.5515e-08
1187.2, 1.6158e-08
1189.2, 1.671e-08
1191.2, 1.7278e-08
1193.2, 1.7855e-08
1195.2, 1.8389e-08
1197.2, 1.8971e-08
1199.2, 1.9604e-08
1201.2, 2.0219e-08
1203.2, 2.0848e-08
1205.2, 2.1438e-08
1207.2, 2.2042e-08
1209.2, 2.2668e-08
1211.2, 2.3248e-08
1213.2, 2.3898e-08
1215.2, 2.4539e-08
1217.2, 2.5152e-08
1219.2, 2.5871e-08
