Time sep (s?), Charge (C)
2.008789, 3.41996e-11
2.137695, 7.304615e-12
2.279297, -2.607349e-11
2.40918, -4.876594e-11
2.539063, -8.358503e-11
2.669922, -1.018353e-10
2.801758, -1.287297e-10
2.933594, -1.515431e-10
3.063477, -1.773566e-10
3.195313, -9.856257e-08
3.328125, -2.200965e-07
3.464844, -3.480473e-07
3.59668, -4.714117e-07
3.725586, -5.931033e-07
3.868164, -7.266544e-07
3.999023, -8.491463e-07
4.12793, -8.988087e-07
4.257813, -8.98787e-07
4.388672, -8.987762e-07
4.520508, -8.987823e-07
4.650391, -8.987743e-07
4.783203, -8.987726e-07
4.914063, -8.987699e-07
5.043945, -8.987751e-07
5.173828, -9.89861e-07
5.31543, -1.118151e-06
5.447266, -1.238895e-06
5.579102, -1.361361e-06
5.709961, -1.482792e-06
5.841797, -1.608034e-06
5.972656, -1.730515e-06
6.104492, -1.791406e-06
6.242188, -1.791376e-06
6.373047, -1.791363e-06
6.504883, -1.791347e-06
6.636719, -1.791324e-06
6.766602, -1.791326e-06
6.899414, -1.791305e-06
7.030273, -1.791308e-06
7.163086, -1.877528e-06
7.291992, -1.994495e-06
7.490234, -2.172677e-06
7.621094, -2.294804e-06
7.75293, -2.416401e-06
7.882813, -2.539688e-06
8.014648, -2.662208e-06
8.145508, -2.682295e-06
8.280273, -2.682253e-06
8.415039, -2.682201e-06
8.546875, -2.682153e-06
8.678711, -2.682172e-06
8.810547, -2.682075e-06
8.948242, -2.682153e-06
9.083984, -2.689052e-06
9.214844, -2.80555e-06
9.349609, -2.928536e-06
9.481445, -3.051846e-06
9.615234, -3.176487e-06
9.805664, -3.354722e-06
9.936523, -3.479435e-06
10.06543, -3.584386e-06
10.19531, -3.58429e-06
10.32812, -3.584325e-06
10.45996, -3.584297e-06
10.58984, -3.584221e-06
10.72168, -3.584237e-06
10.85352, -3.584207e-06
10.98535, -3.584237e-06
11.11719, -3.611164e-06
11.25293, -3.733004e-06
11.38281, -3.854746e-06
11.5127, -3.977186e-06
11.64355, -4.102172e-06
11.77539, -4.22786e-06
11.91211, -4.358434e-06
12.04687, -4.487344e-06
12.17676, -4.493643e-06
12.30859, -4.493617e-06
12.43945, -4.493612e-06
12.56738, -4.493546e-06
12.70117, -4.493525e-06
12.83594, -4.493499e-06
12.96484, -4.493448e-06
13.09473, -4.493534e-06
13.22559, -4.493469e-06
13.35645, -4.493436e-06
