Time sep (s?), Charge (C)
1.976563, 3.3719e-11
2.105469, 1.690995e-11
2.240234, -2.300451e-12
2.369141, -2.091061e-11
2.500977, -4.384374e-11
2.632813, -5.296898e-11
2.761719, -7.169854e-11
2.893555, -8.622741e-11
3.027344, -5.304805e-08
3.15918, -1.360166e-07
3.291016, -2.206492e-07
3.424805, -3.074385e-07
3.554688, -3.935991e-07
3.696289, -4.867298e-07
3.826172, -5.731724e-07
3.958984, -6.285653e-07
4.087891, -6.285464e-07
4.219727, -6.285425e-07
4.351563, -6.28532e-07
4.483398, -6.285339e-07
4.618164, -6.285281e-07
4.748047, -6.285271e-07
4.884766, -6.285218e-07
5.015625, -6.882875e-07
5.146484, -7.72542e-07
5.27832, -8.591776e-07
5.412109, -9.461296e-07
5.542969, -1.031891e-06
5.669922, -1.116297e-06
5.807617, -1.205685e-06
5.936523, -1.25479e-06
6.067383, -1.254775e-06
6.198242, -1.25475e-06
6.331055, -1.25474e-06
6.461914, -1.254725e-06
6.594727, -1.254716e-06
6.726563, -1.254718e-06
6.859375, -1.254702e-06
6.993164, -1.317618e-06
7.124023, -1.397492e-06
7.256836, -1.482268e-06
7.389648, -1.567807e-06
7.520508, -1.652437e-06
7.650391, -1.73587e-06
7.783203, -1.820977e-06
7.915039, -1.870614e-06
8.047852, -1.8706e-06
8.178711, -1.870573e-06
8.311523, -1.870562e-06
8.444336, -1.870556e-06
8.578125, -1.870538e-06
8.709961, -1.870523e-06
8.84082, -1.87052e-06
8.972656, -1.92288e-06
9.101563, -2.003325e-06
9.230469, -2.085315e-06
9.427734, -2.207795e-06
9.55957, -2.292469e-06
9.691406, -2.376282e-06
9.824219, -2.460761e-06
9.951172, -2.480676e-06
10.08008, -2.480692e-06
10.21289, -2.480712e-06
10.34766, -2.480625e-06
10.48242, -2.480578e-06
10.61133, -2.480657e-06
10.74512, -2.480666e-06
10.87598, -2.480596e-06
11.00488, -2.538452e-06
11.13672, -2.620011e-06
11.26758, -2.703242e-06
11.39844, -2.786865e-06
11.5293, -2.871798e-06
11.66406, -2.958246e-06
11.7959, -3.04558e-06
11.93848, -3.096311e-06
12.07031, -3.096342e-06
12.20117, -3.096253e-06
12.34082, -3.096286e-06
12.47168, -3.09626e-06
12.60449, -3.096262e-06
12.7334, -3.096199e-06
12.86426, -3.096268e-06
12.99316, -3.096178e-06
13.12402, -3.096211e-06
13.25586, -3.096141e-06
