Time sep (s?), Charge (C)
1.967773, 4.620746e-11
2.097656, 4.116469e-11
2.229492, 4.464655e-11
2.362305, 4.476674e-11
2.494141, 3.792299e-11
2.626953, 4.740815e-11
2.756836, 4.128483e-11
2.889648, 4.356588e-11
3.022461, -2.962442e-09
3.15332, -2.968449e-09
3.285156, -2.96027e-09
3.416992, -2.963643e-09
3.546875, -2.963286e-09
3.676758, -2.966648e-09
3.807617, -2.958712e-09
3.939453, -2.964362e-09
4.072266, -2.961128e-09
4.204102, -2.962801e-09
4.335938, -2.965441e-09
4.466797, -2.954515e-09
4.597656, -2.964964e-09
4.730469, -2.962092e-09
4.863281, -2.962922e-09
4.991211, -6.338384e-09
5.123047, -6.338226e-09
5.25293, -6.338623e-09
5.384766, -6.335724e-09
5.514648, -6.34042e-09
5.647461, -6.33282e-09
5.77832, -6.338118e-09
5.910156, -6.332734e-09
6.038086, -6.338599e-09
6.170898, -6.33188e-09
6.300781, -6.339702e-09
6.431641, -6.331283e-09
6.5625, -6.336184e-09
6.693359, -6.331382e-09
6.824219, -6.338e-09
6.951172, -9.245803e-09
7.082031, -9.249303e-09
7.214844, -9.238573e-09
7.344727, -9.246918e-09
7.474609, -9.242546e-09
7.606445, -9.247994e-09
7.737305, -9.245295e-09
7.867188, -9.246302e-09
7.99707, -9.243277e-09
8.126953, -9.23896e-09
8.257813, -9.24506e-09
8.390625, -9.245593e-09
8.576172, -9.243861e-09
8.707031, -9.238712e-09
8.837891, -9.246038e-09
8.969727, -1.252139e-08
9.101563, -1.251836e-08
9.231445, -1.252073e-08
9.363281, -1.251364e-08
9.495117, -1.252219e-08
9.625, -1.251682e-08
9.756836, -1.251737e-08
9.884766, -1.251341e-08
10.01367, -1.252136e-08
10.14551, -1.251476e-08
10.27539, -1.251831e-08
10.40527, -1.251578e-08
10.53711, -1.251884e-08
10.66797, -1.251473e-08
10.79883, -1.251905e-08
10.92773, -1.495269e-08
11.05957, -1.587929e-08
11.19043, -1.587433e-08
11.32129, -1.587851e-08
11.45312, -1.587358e-08
11.58203, -1.588073e-08
11.71387, -1.58747e-08
11.84082, -1.587533e-08
11.96875, -1.58787e-08
12.10059, -1.587603e-08
12.23145, -1.587526e-08
12.36133, -1.5875e-08
12.49219, -1.587919e-08
12.625, -1.587196e-08
12.75684, -1.587587e-08
12.88672, -1.587011e-08
13.01855, -1.587902e-08
13.14941, -1.587114e-08
13.28223, -1.587638e-08
