Wavelength (nm), QE (unitless)
360.0, 0.6153240779496503
365.0, 0.6424388281720353
410.0, 0.8945875058292282
465.0, 0.9454455556641046
495.0, 0.9513857413830563
510.0, 0.9539647156920523
515.0, 0.9552581202224896
590.0, 0.9643333454875724
610.0, 0.9656684178215571
660.0, 0.9641950584511075
800.0, 0.9436858943746621
840.0, 0.9362521119824441
870.0, 0.9279460932924676
880.0, 0.9273268110439482
895.0, 0.9194860481864543
905.0, 0.9145695880833925
955.0, 0.8778873002352643
965.0, 0.8626928167039298
1045.0, 0.5947356973075139
1050.0, 0.5621181870137247
350.0, 0.597131644074124
390.0, 0.8267800584016078
395.0, 0.84786883114953
400.0, 0.8642239683359478
420.0, 0.9109789560937152
500.0, 0.9515236168408302
505.0, 0.9519986615830428
535.0, 0.9597680919632873
580.0, 0.9630825314181038
675.0, 0.9680352748325587
690.0, 0.9607452910354817
865.0, 0.9318049514976182
905.0, 0.9196388161401362
930.0, 0.902614451804672
1000.0, 0.7937503349060121
360.0, 0.6095610898007765
400.0, 0.8748850641757345
410.0, 0.8910697174770131
485.0, 0.9666961440327589
540.0, 0.967095198271042
545.0, 0.9597240190407922
550.0, 0.9653644244678805
595.0, 0.9611147391118686
610.0, 0.9635587514577776
630.0, 0.9685928123988361
660.0, 0.960251746266758
670.0, 0.9635190600720968
695.0, 0.9629047587339724
750.0, 0.9529934169514694
790.0, 0.9460073931382884
800.0, 0.9436039627907034
840.0, 0.937879119295882
865.0, 0.9303897491487982
875.0, 0.9283585585395688
890.0, 0.9149620849947413
900.0, 0.9216440669254221
920.0, 0.9104291683011098
960.0, 0.8687584708715856
980.0, 0.8405600753111836
1015.0, 0.7472519121634983
1030.0, 0.6787202966096747
360.0, 0.6063597705241485
400.0, 0.8691864669466144
420.0, 0.9147392625008309
480.0, 0.9528248463226211
485.0, 0.9516421859045558
490.0, 0.9530902096329568
495.0, 0.9556282868581549
500.0, 0.9524128279282555
530.0, 0.9579194745014485
550.0, 0.959640633951726
555.0, 0.9604574632568691
585.0, 0.9682840756371561
600.0, 0.9655049464156555
610.0, 0.9628600476950179
630.0, 0.964677701143775
680.0, 0.9608249084340892
755.0, 0.9490555643790685
765.0, 0.9490403756086481
830.0, 0.9377521274259903
860.0, 0.930399981969308
895.0, 0.921300153101865
930.0, 0.9011659377552542
935.0, 0.8954404732918698
955.0, 0.8775531936537545
1000.0, 0.7893142225713652
360.0, 0.6237470343555667
400.0, 0.8763728882993062
440.0, 0.931307721149508
445.0, 0.9342087128417844
495.0, 0.9549359456899449
550.0, 0.95908384135209
585.0, 0.9648642443429383
605.0, 0.9640178166053321
610.0, 0.965228236086186
655.0, 0.9618734476611049
780.0, 0.9482572395371449
800.0, 0.9436725755691502
810.0, 0.9396441567791586
845.0, 0.9373287190105672
870.0, 0.9276584114174252
885.0, 0.9233914957900526
890.0, 0.9191767756714289
925.0, 0.9075059861947399
965.0, 0.8674075445668177
980.0, 0.8425474175203223
985.0, 0.8274690927885952
990.0, 0.8137345375446312
995.0, 0.805788117983488
