Time sep (s?), Charge (C)
1.987305, 4.224543e-11
2.118164, 4.404613e-11
2.25, 3.756293e-11
2.379883, 4.080436e-11
2.508789, 4.368614e-11
2.640625, 3.74426e-11
2.770508, 4.08047e-11
2.899414, 4.428624e-11
3.03125, 2.099425e-11
3.163086, -2.70312e-11
3.296875, -8.00988e-11
3.425781, -1.406107e-10
3.55957, -2.011224e-10
3.69043, -2.678761e-10
3.820313, -2.998143e-10
3.950195, -2.998133e-10
4.079102, -2.982532e-10
4.210938, -2.970506e-10
4.342773, -2.966925e-10
4.47168, -3.002942e-10
4.604492, -2.929699e-10
4.735352, -2.966908e-10
4.862305, -2.975308e-10
4.994141, -3.097793e-10
5.125977, -3.507205e-10
5.257813, -4.025864e-10
5.386719, -4.630967e-10
5.517578, -5.334575e-10
5.649414, -5.95648e-10
5.782227, -6.319054e-10
5.911133, -6.328656e-10
6.041016, -6.344297e-10
6.171875, -6.349084e-10
6.303711, -6.367086e-10
6.433594, -6.341865e-10
6.564453, -6.352706e-10
6.693359, -6.339482e-10
6.825195, -6.376711e-10
6.956055, -6.40549e-10
8.100586, -9.391435e-10
8.228516, -9.367445e-10
8.357422, -9.44313e-10
8.488281, -9.404679e-10
8.620117, -9.411866e-10
8.751953, -9.458733e-10
8.880859, -9.449093e-10
9.013672, -9.451534e-10
9.145508, -9.479134e-10
9.275391, -9.901721e-10
9.405273, -1.045403e-09
9.538086, -1.113355e-09
9.669922, -1.177836e-09
9.799805, -1.235223e-09
9.930664, -1.272558e-09
10.06152, -1.265837e-09
10.19141, -1.272323e-09
10.31934, -1.268959e-09
10.45117, -1.275688e-09
10.58203, -1.269797e-09
10.71484, -1.271002e-09
10.84375, -1.271842e-09
10.97363, -1.274725e-09
11.10352, -1.278561e-09
11.23535, -1.324309e-09
11.36328, -1.371735e-09
11.49512, -1.438487e-09
11.625, -1.489989e-09
11.75293, -1.569123e-09
11.88184, -1.607654e-09
12.01465, -1.616666e-09
12.14355, -1.613058e-09
12.27246, -1.607897e-09
12.40625, -1.609814e-09
12.53809, -1.616665e-09
12.66895, -1.606093e-09
12.79883, -1.612824e-09
12.92969, -1.608136e-09
13.06152, -1.612096e-09
13.19141, -1.604653e-09
13.32324, -1.61426e-09
