Burst starts (s), Burst ends(A)
1626168020.6891367, 1626168022.6969151
1626168022.712548, 1626168024.7338116
1626168024.7492487, 1626168026.757412
1626168026.7888234, 1626168028.8067648
1626168028.8158126, 1626168030.8395185
