Time sep (s?), Charge (C)
1.990234, 4.068305e-11
2.12207, 4.272405e-11
2.25293, 3.131781e-11
2.384766, 3.095736e-11
2.514648, 3.047734e-11
2.642578, 3.179813e-11
2.833008, 2.339326e-11
2.961914, 2.051178e-11
3.09375, 1.342756e-11
3.224609, -7.344228e-09
3.357422, -1.822577e-08
3.487305, -3.012267e-08
3.617188, -4.296713e-08
3.748047, -5.570582e-08
3.87793, -6.856378e-08
4.005859, -8.156358e-08
4.136719, -8.945226e-08
4.266602, -8.945609e-08
4.398438, -8.945138e-08
4.527344, -8.945567e-08
4.65918, -8.944561e-08
4.791016, -8.945393e-08
4.923828, -8.945523e-08
5.054688, -8.945165e-08
5.1875, -9.27378e-08
5.317383, -1.027332e-07
5.447266, -1.146464e-07
5.579102, -1.266059e-07
5.710938, -1.394015e-07
5.841797, -1.522787e-07
5.970703, -1.650228e-07
6.098633, -1.772708e-07
6.227539, -1.781555e-07
6.359375, -1.781606e-07
6.489258, -1.781549e-07
6.621094, -1.781531e-07
6.750977, -1.781552e-07
6.878906, -1.781544e-07
7.010742, -1.781454e-07
7.141602, -1.781788e-07
7.269531, -1.863511e-07
7.402344, -1.971136e-07
7.533203, -2.084444e-07
7.662109, -2.200903e-07
7.791016, -2.316223e-07
7.919922, -2.438151e-07
8.051758, -2.565416e-07
8.182617, -2.624415e-07
8.313477, -2.624363e-07
8.441406, -2.624276e-07
8.573242, -2.624294e-07
8.703125, -2.624322e-07
8.831055, -2.624293e-07
9.967773, -3.282835e-07
10.09766, -3.407351e-07
10.22559, -3.48654e-07
10.35547, -3.486418e-07
10.4873, -3.486454e-07
10.61719, -3.486385e-07
10.74805, -3.486358e-07
10.87891, -3.486358e-07
11.00684, -3.486378e-07
11.13867, -3.486285e-07
11.27051, -3.514657e-07
11.40039, -3.616452e-07
11.53027, -3.732678e-07
11.6582, -3.853804e-07
11.78906, -3.984284e-07
11.91797, -4.110065e-07
12.0498, -4.246579e-07
12.18164, -4.376133e-07
12.30957, -4.387863e-07
12.43848, -4.387795e-07
12.57031, -4.387849e-07
12.69922, -4.387804e-07
12.83008, -4.387832e-07
12.95996, -4.38775e-07
13.09082, -4.387757e-07
13.21875, -4.387688e-07
13.34766, -4.387633e-07
13.47559, -4.387705e-07
13.60645, -4.387656e-07
