Burst starts (s), Burst ends(A)
1626234974.1563656, 1626234976.1631804
1626234976.1955733, 1626234978.2285569
1626234978.2456024, 1626234980.2599616
1626234980.304394, 1626234982.3150527
1626234982.3666186, 1626234984.3729217
