Time sep (s?), Charge (C)
1.992188, 3.55214e-11
2.125, 4.356563e-11
2.262695, 3.69621e-11
2.397461, 3.600158e-11
2.53125, 4.6087e-11
2.663086, 4.164485e-11
2.795898, 4.008385e-11
2.930664, 4.12844e-11
3.0625, -2.274177e-10
3.195313, -9.223432e-10
3.329102, -1.684986e-09
3.459961, -2.449306e-09
3.591797, -3.286269e-09
3.72168, -4.08374e-09
3.853516, -4.160568e-09
3.982422, -4.157575e-09
4.115234, -4.161881e-09
4.251953, -4.161279e-09
4.384766, -4.163819e-09
4.515625, -4.158895e-09
4.650391, -4.162617e-09
4.782227, -4.163568e-09
4.914063, -4.155762e-09
5.043945, -4.411031e-09
5.175781, -5.077266e-09
5.307617, -5.817564e-09
5.4375, -6.575769e-09
5.568359, -7.403368e-09
5.700195, -8.192067e-09
5.832031, -8.338532e-09
5.962891, -8.342512e-09
6.09668, -8.338199e-09
6.226563, -8.343101e-09
6.357422, -8.334833e-09
6.489258, -8.338776e-09
6.663086, -8.335279e-09
6.794922, -8.340005e-09
6.928711, -8.333969e-09
7.061523, -8.83355e-09
7.192383, -9.508467e-09
7.321289, -1.027239e-08
7.458008, -1.107703e-08
7.591797, -1.188044e-08
7.725586, -1.24652e-08
7.854492, -1.2472e-08
7.982422, -1.246917e-08
8.115234, -1.247643e-08
8.246094, -1.247314e-08
8.37793, -1.247224e-08
8.506836, -1.246932e-08
8.643555, -1.247197e-08
8.774414, -1.247605e-08
8.90625, -1.246403e-08
9.037109, -1.293467e-08
9.167969, -1.360887e-08
9.296875, -1.430856e-08
9.426758, -1.50546e-08
9.557617, -1.586123e-08
9.688477, -1.649854e-08
9.819336, -1.65027e-08
9.951172, -1.649575e-08
10.08203, -1.650524e-08
10.21289, -1.650256e-08
10.34473, -1.650261e-08
10.47363, -1.650349e-08
10.60547, -1.649931e-08
10.73438, -1.649879e-08
10.86816, -1.650263e-08
10.99902, -1.696888e-08
11.12988, -1.761841e-08
11.25781, -1.831803e-08
11.3877, -1.905834e-08
11.51758, -1.980955e-08
11.64941, -2.04428e-08
11.77832, -2.044004e-08
11.90625, -2.044552e-08
12.04004, -2.043552e-08
12.16895, -2.04419e-08
12.2998, -2.043544e-08
12.43652, -2.043909e-08
12.56836, -2.043985e-08
12.69824, -2.043465e-08
12.8291, -2.044247e-08
12.96191, -2.04422e-08
13.09375, -2.044011e-08
13.22363, -2.044483e-08
13.35547, -2.043955e-08
